--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	07.07.2021
Test Start Time	11:41:10
Test Stop Date	07.07.2021
Test Stop Time	15:14:22
Test Length	3:33:12
Final Sample Time Offset	3:33:12
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	100G+5DaRT+0.35FL500+0.35CD
Information	Density	1900
Information	BHCT	72
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	2:54:29
Calculated Value	Time_70Bc	3:33:12
Initial Temperature (°C)	31 °C
Final Temperature (°C)	72 °C
Initial Pressure (MPa)	0,2 MPa
Final Pressure (MPa)	-0,3 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	70 Bc
Initial Wall Temperature (°C)	31 °C
Final Wall Temperature (°C)	68 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	31	0,2	15	31	150
0:00:01	31	0,2	15	31	150
0:00:02	31	0,2	15	31	150
0:00:03	31	0,2	14	31	150
0:00:04	31	0,2	14	31	150
0:00:05	31	0,2	14	31	150
0:00:06	31	0,2	14	31	150
0:00:07	31	0,2	14	31	150
0:00:08	31	0,2	14	31	150
0:00:09	31	0,2	14	31	150
0:00:10	31	0,2	14	31	150
0:00:11	31	0,2	14	31	150
0:00:12	31	0,2	14	31	150
0:00:13	31	0,2	14	31	150
0:00:14	31	0,3	14	31	150
0:00:15	31	0,3	14	31	150
0:00:16	31	0,3	14	31	150
0:00:17	31	0,3	14	31	150
0:00:18	31	0,3	14	31	150
0:00:19	31	0,4	14	31	150
0:00:20	31	0,4	14	31	150
0:00:21	31	0,4	14	31	150
0:00:22	31	0,4	14	31	150
0:00:23	31	0,4	14	31	150
0:00:24	31	0,5	14	31	150
0:00:25	31	0,5	14	31	150
0:00:26	31	0,5	14	31	150
0:00:27	31	0,5	14	31	150
0:00:28	31	0,6	14	31	150
0:00:29	31	0,6	14	31	150
0:00:30	31	0,6	14	31	150
0:00:31	31	0,7	14	32	150
0:00:32	31	0,7	14	31	150
0:00:33	31	0,7	14	32	150
0:00:34	31	0,7	14	32	150
0:00:35	31	0,7	14	32	150
0:00:36	31	0,8	14	32	150
0:00:37	31	0,8	14	32	150
0:00:38	31	0,8	14	32	150
0:00:39	31	0,8	14	32	150
0:00:40	31	0,8	14	32	150
0:00:41	31	0,9	14	32	150
0:00:42	31	0,9	14	32	150
0:00:43	31	0,9	14	32	150
0:00:44	31	1,0	14	32	150
0:00:45	31	1,0	14	32	150
0:00:46	31	1,0	14	32	150
0:00:47	31	1,0	14	32	150
0:00:48	31	1,0	14	32	150
0:00:49	31	1,0	14	32	150
0:00:50	31	1,0	14	32	150
0:00:51	31	1,1	14	32	150
0:00:52	31	1,1	14	32	150
0:00:53	31	1,1	14	32	150
0:00:54	31	1,2	14	32	150
0:00:55	31	1,3	14	32	150
0:00:56	31	1,3	14	32	150
0:00:57	31	1,3	14	32	150
0:00:58	31	1,3	14	32	150
0:00:59	31	1,3	14	32	150
0:01:00	31	1,3	14	33	150
0:01:01	31	1,3	14	33	150
0:01:02	31	1,4	14	33	150
0:01:03	31	1,4	14	33	150
0:01:04	31	1,4	14	33	150
0:01:05	31	1,4	14	33	150
0:01:06	31	1,4	14	33	150
0:01:07	31	1,4	14	33	150
0:01:08	31	1,4	14	33	150
0:01:09	31	1,4	14	33	150
0:01:10	31	1,4	14	33	150
0:01:11	31	1,4	14	33	150
0:01:12	31	1,5	14	33	150
0:01:13	31	1,5	14	33	150
0:01:14	31	1,5	14	33	150
0:01:15	31	1,5	14	33	150
0:01:16	31	1,5	14	33	150
0:01:17	31	1,5	14	33	150
0:01:18	31	1,6	14	33	150
0:01:19	31	1,7	14	34	150
0:01:20	31	1,8	14	34	150
0:01:21	31	1,8	14	33	150
0:01:22	31	1,9	14	34	150
0:01:23	31	1,9	14	34	150
0:01:24	31	1,9	14	34	150
0:01:25	31	1,9	14	34	150
0:01:26	31	1,9	14	34	150
0:01:27	31	1,9	14	34	150
0:01:28	31	1,9	14	34	150
0:01:29	31	2,0	14	34	150
0:01:30	31	2,0	14	34	150
0:01:31	31	2,0	14	34	150
0:01:32	32	2,0	14	34	150
0:01:33	31	2,0	14	34	150
0:01:34	31	2,0	14	34	150
0:01:35	32	2,0	14	34	150
0:01:36	32	2,1	14	34	150
0:01:37	32	2,1	14	35	150
0:01:38	32	2,1	14	35	150
0:01:39	32	2,1	14	35	150
0:01:40	32	2,1	14	35	150
0:01:41	32	2,1	14	35	150
0:01:42	32	2,1	14	35	150
0:01:43	32	2,2	14	35	150
0:01:44	32	2,2	14	35	150
0:01:45	32	2,2	14	35	150
0:01:46	32	2,2	14	35	150
0:01:47	32	2,2	14	35	150
0:01:48	32	2,2	14	35	150
0:01:49	32	2,3	14	35	150
0:01:50	32	2,3	14	35	150
0:01:51	32	2,3	14	35	150
0:01:52	32	2,3	14	35	150
0:01:53	32	2,3	14	35	150
0:01:54	32	2,3	14	35	150
0:01:55	32	2,3	14	35	150
0:01:56	32	2,4	14	35	150
0:01:57	32	2,4	14	35	150
0:01:58	32	2,4	14	35	150
0:01:59	32	2,4	14	35	150
0:02:00	32	2,4	14	35	150
0:02:01	32	2,4	14	36	150
0:02:02	32	2,4	14	35	150
0:02:03	32	2,5	14	36	150
0:02:04	32	2,5	14	36	150
0:02:05	32	2,5	14	36	150
0:02:06	32	2,5	14	36	150
0:02:07	32	2,5	14	36	150
0:02:08	32	2,5	14	36	150
0:02:09	32	2,5	14	36	150
0:02:10	32	2,6	14	36	150
0:02:11	32	2,6	14	36	150
0:02:12	32	2,6	14	36	150
0:02:13	32	2,6	14	36	150
0:02:14	32	2,6	14	36	150
0:02:15	32	2,7	14	36	150
0:02:16	32	2,7	14	36	150
0:02:17	32	2,7	14	36	150
0:02:18	32	2,7	14	36	150
0:02:19	32	2,7	14	36	150
0:02:20	32	2,8	14	36	150
0:02:21	32	3,0	14	36	150
0:02:22	32	3,1	14	36	150
0:02:23	32	3,1	14	36	150
0:02:24	32	3,1	14	36	150
0:02:25	32	3,2	14	37	150
0:02:26	32	3,2	14	37	150
0:02:27	32	3,2	14	37	150
0:02:28	32	3,2	14	37	150
0:02:29	32	3,2	14	37	150
0:02:30	32	3,2	14	37	150
0:02:31	32	3,2	14	37	150
0:02:32	32	3,3	14	37	150
0:02:33	32	3,3	14	37	150
0:02:34	32	3,3	14	37	150
0:02:35	32	3,3	14	37	150
0:02:36	32	3,3	14	37	150
0:02:37	32	3,3	14	37	150
0:02:38	32	3,3	14	37	150
0:02:39	32	3,3	14	37	150
0:02:40	32	3,4	14	37	150
0:02:41	32	3,4	14	37	150
0:02:42	32	3,4	14	37	150
0:02:43	32	3,4	14	37	150
0:02:44	32	3,4	14	37	150
0:02:45	32	3,4	14	37	150
0:02:46	32	3,4	14	37	150
0:02:47	32	3,5	14	37	150
0:02:48	32	3,5	14	37	150
0:02:49	32	3,5	14	37	150
0:02:50	32	3,5	14	37	150
0:02:51	32	3,5	14	37	150
0:02:52	32	3,5	14	37	150
0:02:53	32	3,5	14	37	150
0:02:54	32	3,5	14	37	150
0:02:55	32	3,6	14	37	150
0:02:56	32	3,6	14	38	150
0:02:57	32	3,6	14	38	150
0:02:58	32	3,6	14	38	150
0:02:59	32	3,6	14	37	150
0:03:00	32	3,6	14	38	150
0:03:01	32	3,6	14	38	150
0:03:02	32	3,6	14	38	150
0:03:03	32	3,7	14	38	150
0:03:04	33	3,7	14	38	150
0:03:05	33	3,7	14	38	150
0:03:06	33	3,7	14	38	150
0:03:07	33	3,7	14	38	150
0:03:08	33	3,7	14	38	150
0:03:09	33	3,7	14	38	150
0:03:10	33	3,7	14	38	150
0:03:11	33	3,8	14	38	150
0:03:12	33	3,8	14	38	150
0:03:13	33	3,8	14	38	150
0:03:14	33	3,8	14	38	150
0:03:15	33	3,8	14	38	150
0:03:16	33	3,8	14	38	150
0:03:17	33	3,8	14	38	150
0:03:18	33	3,8	14	38	150
0:03:19	33	3,9	14	38	150
0:03:20	33	3,9	14	38	150
0:03:21	33	3,9	14	38	150
0:03:22	33	3,9	14	38	150
0:03:23	33	3,9	14	38	150
0:03:24	33	3,9	14	38	150
0:03:25	33	3,9	14	38	150
0:03:26	33	4,0	14	38	150
0:03:27	33	4,0	14	38	150
0:03:28	33	4,0	14	38	150
0:03:29	33	4,0	14	38	150
0:03:30	33	4,1	14	38	150
0:03:31	33	4,2	14	38	150
0:03:32	33	4,3	14	38	150
0:03:33	33	4,3	14	38	150
0:03:34	33	4,4	14	38	150
0:03:35	33	4,4	14	38	150
0:03:36	33	4,4	14	38	150
0:03:37	33	4,4	14	38	150
0:03:38	33	4,4	14	39	150
0:03:39	33	4,4	14	39	150
0:03:40	33	4,4	14	39	150
0:03:41	33	4,4	14	38	150
0:03:42	33	4,5	14	39	150
0:03:43	33	4,5	14	39	150
0:03:44	33	4,5	14	39	150
0:03:45	33	4,5	14	39	150
0:03:46	33	4,5	14	39	150
0:03:47	33	4,5	14	39	150
0:03:48	33	4,5	14	39	150
0:03:49	33	4,5	14	39	150
0:03:50	33	4,5	14	39	150
