--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	30.08.2021
Test Start Time	9:38:13
Test Stop Date	30.08.2021
Test Stop Time	14:43:24
Test Length	5:05:11
Final Sample Time Offset	5:05:10
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	90G+10ASPM+1PHV+0.25CEX-201
Information	Density	1500
Information	BHCT	40
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:42:10
Calculated Value	Time_70Bc	5:05:10
Initial Temperature (°C)	27 °C
Final Temperature (°C)	42 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	18,3 MPa
Initial Consistency (Bc)	21 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,5	21
0:00:10	27	0,5	21
0:00:20	27	0,5	21
0:00:30	27	0,5	21
0:00:40	27	0,5	22
0:00:50	27	0,5	22
0:01:00	27	4,3	22
0:01:10	27	7,1	22
0:01:20	27	6,8	21
0:01:30	27	6,7	21
0:01:40	27	6,5	21
0:01:50	27	6,4	21
0:02:00	27	6,3	22
0:02:10	27	6,3	21
0:02:20	27	6,2	22
0:02:30	27	6,1	22
0:02:40	27	6,1	22
0:02:50	27	6,0	22
0:03:00	27	6,0	22
0:03:10	27	6,0	22
0:03:20	27	5,9	22
0:03:30	27	5,9	23
0:03:40	27	5,9	23
0:03:50	27	5,9	23
0:04:00	27	5,9	23
0:04:10	27	5,9	23
0:04:20	27	5,8	23
0:04:30	27	5,8	23
0:04:40	27	5,8	23
0:04:50	27	5,7	23
0:05:00	27	5,7	23
0:05:10	27	5,7	23
0:05:20	27	5,7	24
0:05:30	27	5,6	24
0:05:40	27	5,6	24
0:05:50	27	5,6	24
0:06:00	27	5,6	24
0:06:10	27	5,6	24
0:06:20	27	5,5	24
0:06:30	27	5,5	24
0:06:40	27	5,5	24
0:06:50	27	5,5	24
0:07:00	27	5,5	24
0:07:10	27	5,4	24
0:07:20	27	5,4	24
0:07:30	27	5,4	25
0:07:40	27	5,4	25
0:07:50	27	5,4	25
0:08:00	27	5,4	25
0:08:10	27	5,4	25
0:08:20	27	5,4	25
0:08:30	27	5,3	25
0:08:40	27	5,3	25
0:08:50	27	5,3	25
0:09:00	27	5,3	25
0:09:10	27	5,3	25
0:09:20	26	5,3	25
0:09:30	26	5,3	25
0:09:40	26	5,3	25
0:09:50	26	5,3	25
0:10:00	26	5,2	25
0:10:10	26	5,2	25
0:10:20	26	5,2	25
0:10:30	26	5,2	25
0:10:40	26	5,2	25
0:10:50	26	5,2	25
0:11:00	26	5,2	26
0:11:10	26	5,2	25
0:11:20	26	5,2	26
0:11:30	26	5,2	25
0:11:40	26	5,2	26
0:11:50	26	5,1	26
0:12:00	26	5,2	26
0:12:10	26	5,1	26
0:12:20	26	5,1	26
0:12:30	26	5,1	26
0:12:40	26	5,1	26
0:12:50	26	5,1	26
0:13:00	26	5,1	26
0:13:10	26	5,1	26
0:13:20	26	5,1	26
0:13:30	26	5,1	26
0:13:40	26	5,1	26
0:13:50	26	5,1	26
0:14:00	26	5,1	26
0:14:10	26	5,1	26
0:14:20	26	5,1	26
0:14:30	26	5,1	26
0:14:40	26	5,1	26
0:14:50	26	5,0	26
0:15:00	26	5,0	26
0:15:10	26	5,0	27
0:15:20	26	5,0	27
0:15:30	26	5,0	26
0:15:40	26	5,0	27
0:15:50	26	5,0	26
0:16:00	26	5,0	27
0:16:10	26	5,0	27
0:16:20	26	5,0	26
0:16:30	26	5,0	27
0:16:40	26	5,0	27
0:16:50	26	5,0	27
0:17:00	26	5,0	27
0:17:10	26	5,0	27
0:17:20	26	5,0	27
0:17:30	26	5,0	27
0:17:40	26	5,0	27
0:17:50	26	5,0	27
0:18:00	26	5,0	27
0:18:10	26	5,0	27
0:18:20	26	5,0	27
0:18:30	26	5,0	27
0:18:40	26	5,0	27
0:18:50	26	5,0	27
0:19:00	26	5,0	27
0:19:10	26	5,0	27
0:19:20	26	5,0	27
0:19:30	26	5,0	27
0:19:40	26	4,9	27
0:19:50	26	4,9	27
0:20:00	26	4,9	27
0:20:10	26	4,9	27
0:20:20	26	4,9	27
0:20:30	26	4,9	27
0:20:40	26	4,9	27
0:20:50	26	4,9	28
0:21:00	26	4,9	27
0:21:10	26	4,9	27
0:21:20	26	4,9	27
0:21:30	26	4,9	27
0:21:40	26	4,9	27
0:21:50	26	4,9	27
0:22:00	26	4,9	27
0:22:10	26	4,9	27
0:22:20	26	7,6	27
0:22:30	26	17,3	31
0:22:40	26	16,8	29
0:22:50	27	16,5	28
0:23:00	27	16,3	28
0:23:10	27	16,2	27
0:23:20	27	16,1	27
0:23:30	27	16,0	28
0:23:40	27	15,9	28
0:23:50	27	15,9	27
0:24:00	27	15,8	27
0:24:10	27	15,8	27
0:24:20	27	15,7	27
0:24:30	27	15,7	27
0:24:40	27	15,6	27
0:24:50	27	15,6	27
0:25:00	27	15,6	27
0:25:10	27	15,6	27
0:25:20	27	15,5	27
0:25:30	27	15,5	27
0:25:40	27	15,5	27
0:25:50	27	15,4	27
0:26:00	27	15,4	27
0:26:10	27	15,4	27
0:26:20	27	15,4	27
0:26:30	27	15,4	27
0:26:40	27	15,3	27
0:26:50	27	15,3	27
0:27:00	27	15,3	27
0:27:10	27	15,3	27
0:27:20	27	15,3	27
0:27:30	27	15,3	27
0:27:40	27	15,3	27
0:27:50	27	15,2	27
0:28:00	27	15,2	27
0:28:10	27	15,2	27
0:28:20	27	15,2	27
0:28:30	27	15,2	27
0:28:40	27	15,2	27
0:28:50	27	15,2	27
0:29:00	27	15,2	27
0:29:10	27	15,2	27
0:29:20	27	15,1	27
0:29:30	27	15,1	27
0:29:40	27	15,1	27
0:29:50	27	15,1	27
0:30:00	27	15,1	27
0:30:10	27	15,1	27
0:30:20	27	15,1	27
0:30:30	27	15,1	27
0:30:40	27	15,1	27
0:30:50	27	15,1	27
0:31:00	27	15,1	27
0:31:10	27	15,0	27
0:31:20	27	15,0	27
0:31:30	27	15,0	27
0:31:40	27	15,0	27
0:31:50	27	15,0	27
0:32:00	27	15,0	27
0:32:10	27	15,0	27
0:32:20	27	15,0	27
0:32:30	27	15,0	27
0:32:40	27	15,0	27
0:32:50	27	15,0	27
0:33:00	27	15,0	27
0:33:10	27	15,0	27
0:33:20	27	15,0	27
0:33:30	27	15,0	27
0:33:40	27	15,0	27
0:33:50	27	14,9	27
0:34:00	27	14,9	27
0:34:10	27	15,0	27
0:34:20	27	14,9	27
0:34:30	27	14,9	27
0:34:40	27	14,9	27
0:34:50	27	14,9	27
0:35:00	27	14,9	27
0:35:10	27	14,9	27
0:35:20	27	14,9	27
0:35:30	27	14,9	27
0:35:40	27	14,9	27
0:35:50	27	14,9	27
0:36:00	27	14,9	27
0:36:10	27	14,9	27
0:36:20	27	14,9	27
0:36:30	27	14,9	27
0:36:40	27	14,9	27
0:36:50	27	14,9	27
0:37:00	27	14,9	27
0:37:10	27	14,9	27
0:37:20	27	14,9	27
0:37:30	27	14,9	27
0:37:40	27	14,9	27
0:37:50	27	14,9	27
0:38:00	27	14,9	27
0:38:10	27	14,9	27
0:38:20	27	14,9	27
0:38:30	27	14,9	27
0:38:40	27	14,9	27
0:38:50	27	14,9	27
0:39:00	27	14,9	27
0:39:10	27	14,9	27
0:39:20	27	14,9	27
0:39:30	27	14,9	27
0:39:40	27	14,9	27
0:39:50	27	14,9	27
0:40:00	27	14,9	27
0:40:10	27	14,9	27
0:40:20	27	14,9	27
0:40:30	27	14,9	27
0:40:40	27	14,9	27
0:40:50	27	14,9	27
0:41:00	27	14,9	27
0:41:10	27	14,8	27
0:41:20	27	14,9	27
0:41:30	27	14,9	27
0:41:40	27	14,9	27
0:41:50	27	14,8	27
0:42:00	27	14,7	35
0:42:10	27	14,7	35
0:42:20	27	14,7	35
0:42:30	27	14,7	35
0:42:40	27	14,7	36
0:42:50	27	14,7	36
0:43:00	27	14,3	36
0:43:10	27	14,4	36
0:43:20	27	14,4	36
0:43:30	27	14,4	37
0:43:40	27	14,5	36
0:43:50	27	14,7	37
0:44:00			
0:44:10		14,9	4
0:44:20	27	14,8	3
0:44:30	27	14,8	3
0:44:40	27	14,3	35
0:44:50	27	14,4	33
0:45:00	27	14,4	36
0:45:10	27	14,4	35
0:45:20	27	14,4	34
0:45:30	27	14,7	34
0:45:40	27	14,8	34
0:45:50	27	14,9	31
0:46:00	27	15,0	34
0:46:10	27	15,1	33
0:46:20	27	15,2	33
0:46:30	27	15,4	33
0:46:40	27	15,5	34
0:46:50	27	15,7	34
0:47:00	27	15,8	33
0:47:10	27	15,9	32
0:47:20	27	16,1	32
0:47:30	27	16,3	32
0:47:40	27	16,4	33
0:47:50	27	16,6	32
0:48:00	27	16,7	32
0:48:10	27	16,8	32
0:48:20	27	17,0	32
0:48:30	27	17,1	32
0:48:40	27	17,3	33
0:48:50	27	17,4	33
0:49:00	27	17,5	33
0:49:10	28	17,7	33
0:49:20	28	17,7	32
0:49:30	28	17,8	32
0:49:40	28	17,9	33
0:49:50	28	18,0	33
0:50:00	28	18,0	33
0:50:10	28	18,1	33
0:50:20	28	18,2	33
0:50:30	28	18,3	33
0:50:40	28	18,3	33
0:50:50	28	18,4	33
0:51:00	29	18,5	33
0:51:10	29	18,6	33
0:51:20	29	18,6	33
0:51:30	29	18,7	33
0:51:40	29	18,7	32
0:51:50	29	18,8	33
0:52:00	29	18,9	33
0:52:10	29	18,9	33
0:52:20	29	19,0	33
0:52:30	29	19,1	33
0:52:40	30	19,1	26
0:52:50	30	19,1	33
0:53:00	30	19,2	26
0:53:10	30	19,2	25
0:53:20	30	19,3	33
0:53:30	30	19,3	33
0:53:40	30	19,4	33
0:53:50	30	19,5	32
0:54:00	30	19,5	32
0:54:10	30	19,5	33
0:54:20	31	19,6	33
0:54:30	31	19,6	34
0:54:40	31	19,6	26
0:54:50	31	19,7	32
0:55:00	31	19,8	33
0:55:10	31	19,8	33
0:55:20	31	19,9	33
0:55:30	31	19,9	26
0:55:40	31	19,9	26
0:55:50	31	20,0	26
0:56:00	31	20,0	26
0:56:10	32	20,1	26
