--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	31.08.2021
Test Start Time	10:06:18
Test Stop Date	31.08.2021
Test Stop Time	14:36:37
Test Length	4:30:19
Final Sample Time Offset	4:30:19
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	90G+10ASPM+1FLAC-550+0.25CEX-201
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	0:30:50
Calculated Value	Time_70Bc	4:09:20
Initial Temperature (°C)	27 °C
Final Temperature (°C)	41 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	8,0 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,5	17
0:00:10	27	0,5	22
0:00:20	27	0,5	22
0:00:30	27	0,5	22
0:00:40	27	0,5	16
0:00:50	27	0,5	17
0:01:00	27	0,5	16
0:01:10	27	0,5	20
0:01:20	27	0,5	20
0:01:30	27	0,5	16
0:01:40	27	0,5	22
0:01:50	27	0,5	16
0:02:00	27	0,6	21
0:02:10	27	0,6	16
0:02:20	27	0,6	18
0:02:30	27	0,6	18
0:02:40	27	3,6	28
0:02:50	27	10,2	28
0:03:00	27	9,7	24
0:03:10	28	9,4	23
0:03:20	28	9,2	24
0:03:30	28	9,0	22
0:03:40	28	8,9	24
0:03:50	28	8,8	22
0:04:00	28	8,8	23
0:04:10	28	8,7	24
0:04:20	28	8,7	23
0:04:30	28	8,7	26
0:04:40	28	8,7	22
0:04:50	28	8,7	22
0:05:00	28	8,7	22
0:05:10	28	8,7	21
0:05:20	29	8,7	23
0:05:30	29	8,8	23
0:05:40	29	8,8	22
0:05:50	29	8,9	21
0:06:00	29	8,9	21
0:06:10	29	9,0	22
0:06:20	29	9,1	22
0:06:30	29	9,2	24
0:06:40	29	9,2	21
0:06:50	29	9,3	22
0:07:00	29	9,4	22
0:07:10	29	9,4	22
0:07:20	29	9,5	24
0:07:30	30	9,5	22
