--Test Summary--
Full Path and File Name	
Instrument Name	SGSA/UCA
Instrument Type	Model 5265 SGSA/UCA
Instrument Serial Number	
Test Start Date	21.09.2021
Test Start Time	11:31:19
Test Stop Date	22.09.2021
Test Stop Time	12:08:38
Test Length	24:37:19
Final Sample Time Offset	24:37:00
Controller Schedule Name	
Sampling Period	30 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	30%SilicaFlour+0.5FLAC-420+0.15Polyxat-100
Information	Density	1900
Information	BHCT	90
Information	BHST	120
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	0:39:00
Calculated Value	CS_500	7:33:00
Calculated Value	SGS_Initial	6:14:30
Calculated Value	SGS_Final	6:33:30
Calculated Value	CS_Time8h	5,51 MPa
Calculated Value	CS_Time12h	12,23 MPa
Calculated Value	Time_SGS_100lb/100ft2	6:15:30
Calculated Value	Time_SGS_500lb/100ft2	6:24:30
Calculated Value	CS_Time24h	16,29 MPa
Calculated Value	CS_Time48h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Calculated Curve	Static Gel Strength	Static gel strength
Initial Temperature (°C)	24 °C
Final Temperature (°C)	120 °C
Initial Pressure (psi)	3177 psi
Final Pressure (psi)	3150 psi
Initial Transit Time (microsec/in)	16,20 microsec/in
Final Transit Time (microsec/in)	8,71 microsec/in
Initial Gel Value	3230
Final Gel Value	5580
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	16,42 MPa
Initial Static Gel Strength (lb/100ft2)	12,5 lb/100ft2
Final Static Gel Strength (lb/100ft2)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (psi)	Transit Time (microsec/in)	Gel Value	Compressive Strength (MPa)	Static Gel Strength (lb/100ft2)
0:00:00	24	3177	16,20	3230	0,00	12,5
0:00:30	24	3150	16,20	3294	0,00	12,6
0:01:00	24	3465	16,19	3277	0,00	12,7
0:01:30	24	3461	16,18	3311	0,01	12,8
0:02:00	24	3468	16,16	3321	0,01	12,9
0:02:30	25	3483	16,15	3292	0,02	13,0
0:03:00	25	3504	16,14	3304	0,02	13,1
0:03:30	26	3524	16,16	3302	0,01	13,2
0:04:00	26	3541	16,15	3312	0,02	13,3
0:04:30	27	3555	16,14	3306	0,02	13,4
0:05:00	27	3568	16,13	3312	0,02	13,5
0:05:30	27	3582	16,11	3325	0,03	13,6
0:06:00	28	3599	16,11	3300	0,03	13,7
0:06:30	28	3621	16,08	3307	0,04	13,8
0:07:00	29	3647	16,08	3324	0,03	13,9
0:07:30	29	3677	16,06	3319	0,04	14,0
0:08:00	30	3708	16,06	3336	0,04	14,1
0:08:30	30	3738	16,05	3347	0,04	14,2
0:09:00	31	3766	16,05	3337	0,04	14,3
0:09:30	31	3794	16,04	3312	0,05	14,4
0:10:00	32	3821	16,02	3340	0,05	14,5
0:10:30	32	3851	16,00	3333	0,06	14,6
0:11:00	33	3884	15,99	3345	0,06	14,7
0:11:30	33	3920	15,98	3348	0,07	14,8
0:12:00	34	3958	15,96	3373	0,07	14,9
0:12:30	35	3997	15,94	3353	0,08	15,0
0:13:00	35	4036	15,92	3358	0,08	15,1
0:13:30	36	4074	15,89	3371	0,09	15,2
0:14:00	36	4113	15,89	3394	0,09	15,3
0:14:30	37	4153	15,88	3389	0,10	15,4
0:15:00	37	4195	15,87	3384	0,10	15,5
0:15:30	38	4238	15,83	3366	0,11	15,6
0:16:00	38	4282	15,83	3395	0,11	15,7
0:16:30	39	4328	15,81	3389	0,12	15,8
0:17:00	40	4374	15,79	3419	0,13	15,9
0:17:30	40	4420	15,78	3396	0,13	16,0
0:18:00	41	4467	15,77	3400	0,13	16,1
0:18:30	41	4514	15,76	3403	0,13	16,2
0:19:00	42	4562	15,74	3435	0,14	16,3
0:19:30	43	4611	15,72	3418	0,15	16,4
0:20:00	43	4663	15,70	3413	0,16	16,5
0:20:30	44	4715	15,69	3438	0,16	16,6
0:21:00	44	4768	15,67	3420	0,16	16,7
0:21:30	45	4822	15,66	3406	0,17	16,8
0:22:00	46	4876	15,64	3432	0,18	16,9
