--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	18.10.2021
Test Start Time	10:07:29
Test Stop Date	18.10.2021
Test Stop Time	13:13:19
Test Length	3:05:50
Final Sample Time Offset	3:05:50
Controller Schedule Name	
Sampling Period	10 seconds
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	—ÛıÓÈ ÀÓ„
Information	Additives	100G+5DART-100+0.5PHV+0.05PlastA
Information	Density	1900
Information	BHCT	40
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	2:47:00
Calculated Value	Time_70Bc	3:05:50
Initial Temperature (∞C)	25 ∞C
Final Temperature (∞C)	41 ∞C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	16,0 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,5	11
0:00:10	25	0,5	11
0:00:20	25	0,5	11
0:00:30	25	0,5	11
0:00:40	25	0,5	11
0:00:50	25	0,5	11
0:01:00	25	0,6	11
0:01:10	25	0,6	11
0:01:20	25	0,7	11
0:01:30	25	0,7	12
0:01:40	25	0,7	12
0:01:50	25	0,8	13
0:02:00	25	0,9	12
0:02:10	25	0,9	13
0:02:20	25	1,0	12
0:02:30	25	1,0	12
0:02:40	25	1,1	12
0:02:50	25	1,2	12
0:03:00	25	1,2	12
0:03:10	25	1,2	12
0:03:20	26	1,2	12
0:03:30	26	7,6	13
0:03:40	26	7,5	11
0:03:50	26	7,4	11
0:04:00	26	7,4	11
0:04:10	26	7,4	11
0:04:20	26	7,3	11
0:04:30	27	7,3	11
0:04:40	27	7,3	11
0:04:50	27	7,3	11
0:05:00	27	7,4	11
0:05:10	27	7,4	10
0:05:20	27	7,4	11
0:05:30	27	7,5	11
0:05:40	27	7,6	10
0:05:50	27	7,6	11
0:06:00	28	7,7	11
0:06:10	28	7,7	11
0:06:20	28	7,8	11
0:06:30	28	7,9	11
0:06:40	28	7,9	11
0:06:50	28	8,0	11
0:07:00	28	8,0	11
0:07:10	28	8,1	11
0:07:20	28	8,2	11
0:07:30	28	8,2	11
0:07:40	29	8,3	11
0:07:50	29	8,3	13
0:08:00	29	8,4	11
0:08:10	29	8,4	11
0:08:20	29	8,5	11
0:08:30	29	8,5	11
0:08:40	29	8,5	11
0:08:50	29	8,6	11
0:09:00	29	8,7	11
0:09:10	29	8,7	11
0:09:20	30	8,8	10
0:09:30	30	8,8	11
0:09:40	30	8,9	11
0:09:50	30	9,0	11
0:10:00	30	9,0	11
0:10:10	30	9,1	11
0:10:20	30	9,1	11
0:10:30	30	9,2	11
0:10:40	30	9,2	11
0:10:50	30	9,3	11
0:11:00	31	9,3	11
0:11:10	31	9,4	11
0:11:20	31	9,4	11
0:11:30	31	9,5	11
0:11:40	31	9,6	11
0:11:50	31	9,6	11
0:12:00	31	9,7	11
0:12:10	31	9,7	11
0:12:20	31	9,8	11
0:12:30	31	9,9	11
0:12:40	31	10,0	11
0:12:50	32	10,0	11
0:13:00	32	10,1	11
0:13:10	32	10,1	11
0:13:20	32	10,2	11
0:13:30	32	10,2	11
0:13:40	32	10,3	11
0:13:50	32	10,3	11
0:14:00	32	10,4	10
0:14:10	32	10,5	11
0:14:20	32	10,6	11
0:14:30	33	10,6	13
0:14:40	33	10,7	11
0:14:50	33	10,8	11
0:15:00	33	10,8	11
0:15:10	33	10,9	11
0:15:20	33	11,0	10
0:15:30	33	11,0	11
0:15:40	33	11,1	11
0:15:50	33	11,2	10
0:16:00	33	11,2	10
0:16:10	33	11,3	11
0:16:20	33	11,3	11
0:16:30	33	11,4	11
0:16:40	34	11,5	10
0:16:50	34	11,5	11
0:17:00	34	11,6	11
0:17:10	34	11,7	11
0:17:20	34	11,7	11
0:17:30	34	11,8	10
0:17:40	34	11,9	10
0:17:50	34	12,0	10
0:18:00	34	12,0	10
0:18:10	34	12,1	10
0:18:20	34	12,1	10
0:18:30	35	12,2	10
0:18:40	35	12,3	10
0:18:50	35	12,4	10
0:19:00	35	12,4	10
0:19:10	35	12,5	10
0:19:20	35	12,5	10
0:19:30	35	12,6	10
0:19:40	35	12,7	10
0:19:50	35	12,7	10
0:20:00	35	12,8	10
0:20:10	35	12,8	10
0:20:20	35	12,9	10
0:20:30	36	13,0	10
0:20:40	36	13,0	10
0:20:50	36	13,1	10
0:21:00	36	13,2	10
0:21:10	36	13,2	10
0:21:20	36	13,3	10
0:21:30	36	13,4	10
0:21:40	36	13,5	10
0:21:50	36	13,6	10
0:22:00	36	13,7	10
0:22:10	36	13,8	10
0:22:20	36	13,9	10
0:22:30	37	13,9	10
0:22:40	37	14,0	10
0:22:50	37	14,0	10
0:23:00	37	14,1	10
0:23:10	37	14,2	10
0:23:20	37	14,2	10
0:23:30	37	14,3	10
0:23:40	37	14,3	10
0:23:50	37	14,4	10
0:24:00	37	14,4	10
0:24:10	37	14,5	10
0:24:20	38	14,6	10
0:24:30	38	14,6	10
0:24:40	38	14,7	10
0:24:50	38	14,8	10
0:25:00	38	14,9	10
0:25:10	38	15,0	10
0:25:20	38	15,1	10
0:25:30	38	15,1	10
0:25:40	38	15,2	10
0:25:50	38	15,3	10
0:26:00	38	15,4	10
0:26:10	38	15,4	10
0:26:20	39	15,5	10
0:26:30	39	15,6	10
0:26:40	39	15,7	10
0:26:50	39	15,8	10
0:27:00	39	15,8	10
0:27:10	39	15,9	10
0:27:20	39	16,0	10
0:27:30	39	16,0	10
0:27:40	39	16,1	10
0:27:50	39	16,2	10
0:28:00	39	16,3	10
0:28:10	39	16,3	10
0:28:20	40	16,4	10
0:28:30	40	16,5	10
0:28:40	40	16,5	10
0:28:50	40	16,6	10
0:29:00	40	16,7	10
0:29:10	40	16,7	10
0:29:20	40	16,8	10
0:29:30	40	16,9	9
0:29:40	40	17,0	10
0:29:50	40	17,0	9
0:30:00	40	17,1	9
0:30:10	40	17,2	10
0:30:20	41	17,2	9
0:30:30	41	17,2	9
0:30:40	41	17,2	9
0:30:50	41	17,2	9
0:31:00	41	17,2	10
0:31:10	41	17,1	9
0:31:20	41	17,1	9
0:31:30	41	17,1	9
0:31:40	41	17,0	9
0:31:50	41	16,9	10
0:32:00	41	16,9	9
0:32:10	41	16,8	9
0:32:20	41	16,8	9
0:32:30	41	16,7	9
0:32:40	41	16,7	9
0:32:50	41	16,6	9
0:33:00	41	16,6	9
0:33:10	41	16,5	11
0:33:20	41	16,5	10
0:33:30	41	16,4	9
0:33:40	41	16,4	9
0:33:50	41	16,4	9
0:34:00	41	16,3	9
0:34:10	41	16,3	9
0:34:20	41	16,3	9
0:34:30	41	16,3	9
0:34:40	41	16,2	9
0:34:50	41	16,2	9
0:35:00	41	16,2	9
0:35:10	41	16,2	9
0:35:20	41	16,2	9
0:35:30	41	16,2	9
0:35:40	41	16,2	9
0:35:50	41	16,1	9
0:36:00	41	16,1	9
0:36:10	41	16,1	9
0:36:20	41	16,1	9
0:36:30	41	16,1	9
0:36:40	41	16,1	9
0:36:50	41	16,1	9
0:37:00	41	16,1	9
0:37:10	41	16,0	9
0:37:20	41	16,0	9
0:37:30	41	16,0	9
0:37:40	41	16,0	9
0:37:50	41	16,0	9
0:38:00	41	16,0	9
0:38:10	41	16,0	9
0:38:20	41	16,0	9
0:38:30	41	16,0	9
0:38:40	41	16,0	9
0:38:50	41	16,0	9
0:39:00	41	16,0	9
0:39:10	41	16,0	9
0:39:20	41	16,0	9
0:39:30	41	16,0	9
0:39:40	41	16,0	9
0:39:50	41	16,0	9
0:40:00	41	16,0	9
0:40:10	41	16,0	9
0:40:20	41	16,0	9
0:40:30	41	16,0	9
0:40:40	41	16,0	9
0:40:50	41	16,0	9
0:41:00	41	16,0	9
0:41:10	41	16,0	9
0:41:20	41	16,0	9
0:41:30	41	16,0	9
0:41:40	41	16,0	9
0:41:50	41	16,1	9
0:42:00	41	16,1	9
0:42:10	41	16,1	9
0:42:20	41	16,1	9
0:42:30	41	16,1	9
0:42:40	41	16,1	9
0:42:50	41	16,1	10
0:43:00	41	16,1	10
0:43:10	41	16,1	10
0:43:20	41	16,1	10
0:43:30	41	16,1	9
0:43:40	41	16,1	9
0:43:50	41	16,1	9
0:44:00	41	16,1	9
0:44:10	41	16,1	9
0:44:20	41	16,1	9
0:44:30	41	16,1	9
0:44:40	41	16,1	9
0:44:50	41	16,1	9
0:45:00	41	16,1	9
0:45:10	41	16,1	9
0:45:20	41	16,1	9
0:45:30	41	16,1	9
0:45:40	41	16,1	9
0:45:50	41	16,1	9
0:46:00	41	16,1	9
0:46:10	41	16,1	9
0:46:20	41	16,1	9
0:46:30	41	16,2	9
0:46:40	41	16,2	9
0:46:50	41	16,2	9
0:47:00	41	16,2	9
0:47:10	41	16,2	9
0:47:20	41	16,1	9
0:47:30	41	16,2	9
0:47:40	41	16,2	9
0:47:50	41	16,2	9
0:48:00	41	16,2	9
0:48:10	41	16,2	9
0:48:20	41	16,2	9
0:48:30	41	16,2	9
0:48:40	41	16,2	9
0:48:50	41	16,2	9
0:49:00	41	16,2	9
0:49:10	41	16,2	9
0:49:20	41	16,2	9
0:49:30	41	16,2	9
0:49:40	41	16,2	9
0:49:50	41	16,2	9
0:50:00	41	16,2	9
0:50:10	41	16,2	9
0:50:20	41	16,2	9
0:50:30	41	16,2	9
0:50:40	41	16,2	9
0:50:50	41	16,2	9
0:51:00	41	16,2	9
0:51:10	41	16,2	9
0:51:20	41	16,2	9
0:51:30	41	16,2	9
0:51:40	41	16,2	9
0:51:50	41	16,2	9
0:52:00	41	16,2	9
0:52:10	41	16,2	9
0:52:20	41	16,2	9
0:52:30	41	16,2	9
0:52:40	41	16,2	9
0:52:50	41	16,2	9
0:53:00	41	16,2	9
0:53:10	41	16,2	9
0:53:20	41	16,2	9
0:53:30	41	16,2	9
0:53:40	41	16,2	9
0:53:50	41	16,2	9
0:54:00	41	16,2	9
0:54:10	41	16,3	9
0:54:20	41	16,3	9
0:54:30	41	16,3	9
0:54:40	41	16,2	9
0:54:50	41	16,2	9
0:55:00	41	16,3	9
0:55:10	41	16,3	9
0:55:20	41	16,3	9
0:55:30	41	16,3	9
0:55:40	41	16,3	9
0:55:50	41	16,3	9
0:56:00	41	16,3	9
0:56:10	41	16,3	9
0:56:20	41	16,3	9
0:56:30	41	16,3	9
0:56:40	41	16,3	9
0:56:50	41	16,3	9
0:57:00	41	16,3	9
0:57:10	41	16,3	9
0:57:20	41	16,3	9
0:57:30	41	16,3	9
0:57:40	41	16,3	9
0:57:50	41	16,3	9
0:58:00	41	16,3	9
0:58:10	41	16,3	9
0:58:20	41	16,3	9
0:58:30	41	16,3	9
0:58:40	41	16,3	9
0:58:50	41	16,3	9
0:59:00	41	16,3	9
0:59:10	41	16,3	9
0:59:20	41	16,3	9
0:59:30	41	16,3	9
0:59:40	41	16,3	9
0:59:50	41	16,3	9
1:00:00	41	16,3	9
1:00:10	41	16,3	9
