--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	24.11.2021
Test Start Time	14:15:41
Test Stop Date	24.11.2021
Test Stop Time	17:50:51
Test Length	3:35:10
Final Sample Time Offset	3:35:00
Controller Schedule Name	
Sampling Period	10 seconds
Comments	24.11.2021
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	21 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	0,5 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	29 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,5	11
0:00:10	23	0,5	11
0:00:20	23	0,5	11
0:00:30	23	0,5	11
0:00:40	23	0,5	12
0:00:50	22	0,5	12
0:01:00	22	0,5	11
0:01:10	22	0,5	12
0:01:20	22	0,5	12
0:01:30	22	0,5	12
0:01:40	22	0,5	12
0:01:50	22	0,5	12
0:02:00	22	0,5	12
0:02:10	22	0,5	12
0:02:20	22	0,5	12
0:02:30	22	0,5	12
0:02:40	22	0,5	12
0:02:50	22	0,5	12
0:03:00	22	0,5	12
0:03:10	22	0,5	12
0:03:20	22	0,5	12
0:03:30	22	0,5	12
0:03:40	22	0,5	12
0:03:50	22	0,5	12
0:04:00	22	0,5	12
0:04:10	22	0,5	12
0:04:20	22	0,5	12
0:04:30	22	0,5	12
0:04:40	22	0,5	12
0:04:50	22	0,5	12
0:05:00	22	0,5	12
0:05:10	22	0,5	12
0:05:20	22	0,4	12
0:05:30	22	0,5	12
0:05:40	22	0,4	12
0:05:50	22	0,5	12
0:06:00	22	0,4	12
0:06:10	22	0,4	12
0:06:20	22	0,4	12
0:06:30	22	0,4	12
0:06:40	22	0,4	12
0:06:50	22	0,4	12
0:07:00	22	0,4	12
0:07:10	22	0,4	12
0:07:20	22	0,4	12
0:07:30	22	0,4	12
0:07:40	22	0,4	12
0:07:50	22	0,4	12
0:08:00	22	0,4	13
0:08:10	22	0,4	13
0:08:20	22	0,4	12
0:08:30	22	0,4	13
0:08:40	22	0,4	13
0:08:50	22	0,4	12
0:09:00	22	0,4	13
0:09:10	22	0,4	13
0:09:20	22	0,4	13
0:09:30	22	0,4	13
0:09:40	22	0,4	13
0:09:50	22	0,5	12
0:10:00	22	0,5	13
0:10:10	22	0,5	13
0:10:20	22	0,5	13
0:10:30	22	0,5	13
0:10:40	22	0,5	13
0:10:50	22	0,5	13
0:11:00	22	0,5	13
0:11:10	22	0,5	13
0:11:20	22	0,5	13
0:11:30	22	0,5	13
0:11:40	22	0,5	13
0:11:50	22	0,5	13
0:12:00	22	0,5	13
0:12:10	22	0,5	13
0:12:20	22	0,5	13
0:12:30	22	0,5	13
0:12:40	22	0,5	13
0:12:50	22	0,5	13
0:13:00	22	0,5	13
0:13:10	22	0,5	13
0:13:20	22	0,5	13
0:13:30	22	0,5	13
0:13:40	22	0,5	13
0:13:50	22	0,5	13
0:14:00	22	0,5	13
0:14:10	22	0,5	13
0:14:20	22	0,5	13
0:14:30	22	0,5	13
0:14:40	22	0,5	13
0:14:50	22	0,5	13
0:15:00	22	0,5	13
0:15:10	22	0,5	13
0:15:20	22	0,5	13
0:15:30	22	0,5	13
0:15:40	22	0,5	13
0:15:50	22	0,4	13
0:16:00	22	0,5	13
