--Test Summary--
Full Path and File Name	
Instrument Name	7222
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	
Test Start Date	29.11.2021
Test Start Time	10:59:49
Test Stop Date	29.11.2021
Test Stop Time	16:16:18
Test Length	5:16:29
Final Sample Time Offset	5:16:20
Controller Schedule Name	
Sampling Period	10 seconds
Comments	ãîñò
íöç
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	I-50
Information	CementMfr	ÍÖÇ
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	N/A
Calculated Value	Time_70Bc	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	27 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	0,5 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	11 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,4	6
0:00:10	23	0,4	6
0:00:20	23	0,4	4
0:00:30	23	0,4	6
0:00:40	23	0,4	6
0:00:50	23	0,4	4
0:01:00	23	0,4	5
0:01:10	23	0,4	6
0:01:20	23	0,4	5
0:01:30	23	0,4	3
0:01:40	23	0,4	6
0:01:50	23	0,4	6
0:02:00	23	0,4	4
0:02:10	23	0,4	4
0:02:20	23	0,4	6
0:02:30	23	0,4	6
0:02:40	23	0,4	4
0:02:50	23	0,4	4
0:03:00	23	0,4	6
0:03:10	22	0,4	5
0:03:20	22	0,4	3
0:03:30	22	0,4	6
0:03:40	22	0,4	6
0:03:50	22	0,4	3
0:04:00	22	0,4	6
0:04:10	22	0,4	7
0:04:20	22	0,4	4
0:04:30	22	0,4	4
0:04:40	22	0,4	6
0:04:50	22	0,4	6
0:05:00	22	0,4	3
0:05:10	22	0,4	6
0:05:20	22	0,4	6
0:05:30	22	0,4	3
0:05:40	22	0,4	6
0:05:50	22	0,4	6
0:06:00	22	0,4	5
0:06:10	22	0,4	4
0:06:20	22	0,4	6
