--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	11.01.2022
Test Start Time	13:11:39
Test Stop Date	11.01.2022
Test Stop Time	15:17:37
Test Length	2:05:58
Final Sample Time Offset	2:05:58
Controller Schedule Name	
Sampling Period	1 second
Comments	G ñ ìåñòîðîæäåíèÿ
Information	WellID	
Information	Customer	
Information	EngName	Vadim Khrabrov
Information	CementClass	G
Information	CementMfr	Ñóõîé Ëîã
Information	Additives	100G
Information	Density	1900
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	1:27:04
Calculated Value	Time_70Bc	1:52:38
Calculated Value	Time_100Bc	2:05:58
Initial Temperature (°C)	24 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	35,9 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	101 Bc
Initial Wall Temperature (°C)	31 °C
Final Wall Temperature (°C)	51 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	24	0,5	13	31	150
0:00:01	24	0,6	13	32	150
0:00:02	24	1,2	13	32	150
0:00:03	24	2,3	13	32	150
0:00:04	24	3,7	13	32	150
0:00:05	24	5,2	13	32	150
0:00:06	24	6,4	13	33	150
0:00:07	24	7,1	14	33	150
0:00:08	24	7,5	14	33	150
0:00:09	24	7,6	14	33	150
0:00:10	24	7,7	14	33	150
0:00:11	24	7,7	14	33	150
0:00:12	24	7,7	14	33	150
0:00:13	24	7,8	14	33	150
0:00:14	24	7,8	14	33	150
0:00:15	24	7,8	14	33	150
0:00:16	24	7,8	14	33	150
0:00:17	25	7,9	14	33	150
0:00:18	25	7,9	14	33	150
0:00:19	25	7,9	14	34	150
0:00:20	25	7,9	14	33	150
0:00:21	25	8,0	14	34	150
0:00:22	25	8,0	14	33	150
0:00:23	25	8,0	14	33	150
0:00:24	25	8,1	14	33	150
0:00:25	25	8,1	14	34	150
0:00:26	25	8,1	14	34	150
0:00:27	25	8,1	14	34	150
0:00:28	25	8,2	14	34	150
0:00:29	25	8,2	14	34	150
0:00:30	25	8,2	14	34	150
0:00:31	25	8,2	14	34	150
0:00:32	25	8,3	14	34	150
0:00:33	25	8,3	14	34	150
0:00:34	25	8,3	14	34	150
0:00:35	25	8,3	14	34	150
0:00:36	25	8,4	14	34	150
0:00:37	25	8,4	14	34	150
0:00:38	25	8,4	14	34	150
0:00:39	25	8,4	14	34	150
0:00:40	25	8,4	14	34	150
0:00:41	25	8,5	14	34	150
0:00:42	25	8,5	14	34	150
0:00:43	25	8,5	14	34	150
0:00:44	25	8,5	14	34	150
0:00:45	25	8,6	14	34	150
0:00:46	25	8,6	14	34	150
0:00:47	25	8,6	14	34	150
0:00:48	26	8,6	14	34	150
0:00:49	26	8,6	14	34	150
0:00:50	26	8,7	14	34	150
0:00:51	26	8,7	14	34	150
0:00:52	26	8,7	14	35	150
0:00:53	26	8,7	14	35	150
0:00:54	26	8,8	14	35	150
0:00:55	26	8,8	14	34	150
0:00:56	26	8,8	14	34	150
0:00:57	26	8,8	14	34	150
0:00:58	26	8,8	14	34	150
0:00:59	26	8,9	14	35	150
0:01:00	26	8,9	14	35	150
0:01:01	26	8,9	14	35	150
0:01:02	26	8,9	14	35	150
0:01:03	26	8,9	14	35	150
0:01:04	26	9,0	14	35	150
0:01:05	26	9,0	14	35	150
0:01:06	26	9,0	14	35	150
0:01:07	26	9,0	14	35	150
0:01:08	26	9,0	14	35	150
0:01:09	26	9,0	14	35	150
0:01:10	26	9,1	14	35	150
0:01:11	26	9,1	14	35	150
0:01:12	26	9,1	14	35	150
0:01:13	26	9,1	14	35	150
0:01:14	26	9,1	14	35	150
0:01:15	26	9,2	14	35	150
0:01:16	26	9,2	14	35	150
0:01:17	26	9,2	14	35	150
0:01:18	27	9,2	14	35	150
0:01:19	27	9,2	14	35	150
0:01:20	27	9,3	14	35	150
0:01:21	27	9,3	14	35	150
0:01:22	27	9,3	14	35	150
0:01:23	27	9,3	14	35	150
0:01:24	27	9,3	14	35	150
0:01:25	27	9,3	14	35	150
0:01:26	27	9,4	14	35	150
0:01:27	27	9,4	14	35	150
0:01:28	27	9,4	14	35	150
0:01:29	27	9,4	14	35	150
0:01:30	27	9,4	14	35	150
0:01:31	27	9,4	14	35	150
0:01:32	27	9,5	14	35	150
0:01:33	27	9,5	14	35	150
0:01:34	27	9,5	14	35	150
0:01:35	27	9,5	14	35	150
0:01:36	27	9,5	14	35	150
0:01:37	27	9,5	14	35	150
0:01:38	27	9,5	14	35	150
0:01:39	27	9,6	14	35	150
0:01:40	27	9,6	14	35	150
0:01:41	27	9,6	14	35	150
0:01:42	27	9,6	14	35	150
0:01:43	27	9,6	14	35	150
0:01:44	27	9,6	14	35	150
0:01:45	27	9,6	14	35	150
0:01:46	27	9,7	14	35	150
0:01:47	27	9,7	14	35	150
0:01:48	27	9,7	14	35	150
0:01:49	27	9,7	14	35	150
0:01:50	27	9,7	14	35	150
0:01:51	28	9,7	14	35	150
0:01:52	28	9,8	14	35	150
0:01:53	28	9,8	14	35	150
0:01:54	28	9,8	14	35	150
0:01:55	28	9,8	14	35	150
0:01:56	28	9,8	14	36	150
0:01:57	28	9,8	14	36	150
0:01:58	28	9,8	14	35	150
0:01:59	28	9,8	14	35	150
0:02:00	28	9,9	14	35	150
0:02:01	28	9,9	14	35	150
0:02:02	28	9,9	14	35	150
0:02:03	28	9,9	14	35	150
0:02:04	28	9,9	14	35	150
0:02:05	28	9,9	14	36	150
0:02:06	28	9,9	14	36	150
0:02:07	28	9,9	14	36	150
0:02:08	28	10,0	14	35	150
0:02:09	28	10,0	14	36	150
0:02:10	28	10,0	14	36	150
0:02:11	28	10,0	14	36	150
0:02:12	28	10,0	14	36	150
0:02:13	28	10,0	14	36	150
0:02:14	28	10,0	14	36	150
0:02:15	28	10,1	14	36	150
0:02:16	28	10,1	14	36	150
0:02:17	28	10,1	14	36	150
0:02:18	28	10,1	14	36	150
0:02:19	28	10,1	14	36	150
0:02:20	28	10,1	14	36	150
0:02:21	28	10,1	14	36	150
0:02:22	28	10,1	14	36	150
0:02:23	29	10,1	14	36	150
0:02:24	29	10,2	14	36	150
0:02:25	29	10,2	14	36	150
0:02:26	29	10,2	14	36	150
0:02:27	29	10,2	14	36	150
0:02:28	29	10,2	14	36	150
0:02:29	29	10,2	14	36	150
0:02:30	29	10,2	14	36	150
0:02:31	29	10,2	14	36	150
0:02:32	29	10,3	14	36	150
0:02:33	29	10,3	14	36	150
0:02:34	29	10,3	14	36	150
0:02:35	29	10,3	14	36	150
0:02:36	29	10,3	14	36	150
0:02:37	29	10,3	14	36	150
0:02:38	29	10,3	14	36	150
0:02:39	29	10,3	14	36	150
0:02:40	29	10,3	14	36	150
0:02:41	29	10,4	14	36	150
0:02:42	29	10,4	14	36	150
0:02:43	29	10,4	14	36	150
0:02:44	29	10,4	14	36	150
0:02:45	29	10,4	14	36	150
0:02:46	29	10,4	14	36	150
0:02:47	29	10,4	14	36	150
0:02:48	29	10,4	14	36	150
0:02:49	29	10,4	14	36	150
0:02:50	29	10,5	14	36	150
0:02:51	29	10,5	14	36	150
0:02:52	29	10,5	14	36	150
0:02:53	29	10,5	14	36	150
0:02:54	29	10,5	14	36	150
0:02:55	29	10,5	14	36	150
0:02:56	29	10,5	14	36	150
0:02:57	29	10,5	14	36	150
0:02:58	29	10,5	14	36	150
0:02:59	30	10,5	14	36	150
0:03:00	30	10,6	14	36	150
0:03:01	30	10,6	14	36	150
0:03:02	30	10,6	14	36	150
0:03:03	30	10,6	14	36	150
0:03:04	30	10,6	14	36	150
0:03:05	30	10,6	14	36	150
0:03:06	30	10,6	14	36	150
0:03:07	30	10,6	14	36	150
0:03:08	30	10,6	14	36	150
0:03:09	30	10,6	14	36	150
0:03:10	30	10,6	14	36	150
0:03:11	30	10,7	14	36	150
0:03:12	30	10,7	14	36	150
0:03:13	30	10,7	14	36	150
0:03:14	30	10,7	14	36	150
0:03:15	30	10,7	14	36	150
0:03:16	30	10,7	14	36	150
0:03:17	30	10,7	14	36	150
0:03:18	30	10,7	14	36	150
0:03:19	30	10,7	14	36	150
0:03:20	30	10,7	14	36	150
0:03:21	30	10,7	14	36	150
0:03:22	30	10,8	14	36	150
0:03:23	30	10,8	14	36	150
0:03:24	30	10,8	14	36	150
0:03:25	30	10,8	14	36	150
0:03:26	30	10,8	14	36	150
0:03:27	30	10,8	14	36	150
0:03:28	30	10,8	14	36	150
0:03:29	30	10,8	14	36	150
0:03:30	30	10,8	14	36	150
0:03:31	30	10,8	14	36	150
0:03:32	30	10,8	14	36	150
0:03:33	30	10,8	14	36	150
0:03:34	30	10,9	14	36	150
0:03:35	30	10,9	14	36	150
0:03:36	30	10,9	14	36	150
0:03:37	30	10,9	14	36	150
0:03:38	31	10,9	14	36	150
0:03:39	31	10,9	14	36	150
0:03:40	31	10,9	14	36	150
0:03:41	31	10,9	14	36	150
0:03:42	31	10,9	14	37	150
0:03:43	31	10,9	14	37	150
0:03:44	31	10,9	14	37	150
0:03:45	31	10,9	14	37	150
0:03:46	31	11,0	14	36	150
0:03:47	31	11,0	14	36	150
0:03:48	31	11,0	14	37	150
0:03:49	31	11,0	14	36	150
0:03:50	31	11,0	14	36	150
0:03:51	31	11,0	14	37	150
0:03:52	31	11,0	14	37	150
0:03:53	31	11,0	14	36	150
0:03:54	31	11,0	14	37	150
0:03:55	31	11,0	14	37	150
0:03:56	31	11,0	14	37	150
0:03:57	31	11,0	14	36	150
0:03:58	31	11,0	14	37	150
0:03:59	31	11,1	14	37	150
0:04:00	31	11,1	14	37	150
0:04:01	31	11,1	14	37	150
0:04:02	31	11,1	14	37	150
0:04:03	31	11,2	14	37	150
0:04:04	31	11,4	14	37	150
0:04:05	31	11,5	14	37	150
0:04:06	31	11,5	14	37	150
0:04:07	31	11,5	14	37	150
0:04:08	31	11,5	14	37	150
0:04:09	31	11,6	14	37	150
0:04:10	31	11,6	14	37	150
0:04:11	31	11,6	14	37	150
0:04:12	31	11,6	14	37	150
0:04:13	31	11,6	14	37	150
0:04:14	31	11,6	14	37	150
0:04:15	31	11,6	14	37	150
0:04:16	31	11,6	14	37	150
0:04:17	31	11,6	14	37	150
0:04:18	31	11,6	14	37	150
0:04:19	31	11,6	14	37	150
0:04:20	31	11,6	14	37	150
0:04:21	32	11,6	14	37	150
0:04:22	32	11,6	14	37	150
0:04:23	32	11,6	14	37	150
0:04:24	32	11,6	14	37	150
0:04:25	32	11,7	14	37	150
0:04:26	32	11,7	14	37	150
0:04:27	32	11,7	14	37	150
0:04:28	32	11,7	14	37	150
0:04:29	32	11,7	14	37	150
0:04:30	32	11,7	14	37	150
0:04:31	32	11,7	14	37	150
0:04:32	32	11,7	14	37	150
0:04:33	32	11,7	14	37	150
0:04:34	32	11,7	14	37	150
0:04:35	32	11,7	14	37	150
0:04:36	32	11,7	14	37	150
0:04:37	32	11,7	14	37	150
0:04:38	32	11,7	14	37	150
0:04:39	32	11,7	14	37	150
0:04:40	32	11,7	14	37	150
0:04:41	32	11,8	14	37	150
0:04:42	32	11,8	14	37	150
0:04:43	32	11,8	14	37	150
0:04:44	32	11,8	14	37	150
0:04:45	32	11,8	14	37	150
0:04:46	32	11,8	14	37	150
0:04:47	32	11,8	14	37	150
0:04:48	32	11,9	14	37	150
0:04:49	32	11,9	14	37	150
0:04:50	32	11,9	14	37	150
0:04:51	32	11,9	14	37	150
0:04:52	32	12,0	14	37	150
0:04:53	32	12,0	14	37	150
0:04:54	32	12,2	14	37	150
0:04:55	32	12,3	14	37	150
0:04:56	32	12,4	14	37	150
0:04:57	32	12,4	14	37	150
0:04:58	32	12,4	14	37	150
0:04:59	32	12,4	14	37	150
0:05:00	32	12,4	14	37	150
0:05:01	32	12,4	14	37	150
0:05:02	32	12,4	14	37	150
0:05:03	32	12,4	14	37	150
0:05:04	32	12,4	14	37	150
0:05:05	32	12,4	14	37	150
0:05:06	32	12,4	14	37	150
0:05:07	32	12,4	14	37	150
0:05:08	33	12,4	14	37	150
0:05:09	33	12,4	14	37	150
0:05:10	33	12,4	14	37	150
0:05:11	33	12,4	14	37	150
0:05:12	33	12,4	14	37	150
0:05:13	33	12,5	14	37	150
0:05:14	33	12,5	14	37	150
0:05:15	33	12,5	14	37	150
0:05:16	33	12,5	14	37	150
0:05:17	33	12,5	14	37	150
0:05:18	33	12,5	14	37	150
0:05:19	33	12,5	14	37	150
0:05:20	33	12,5	14	37	150
0:05:21	33	12,5	14	37	150
0:05:22	33	12,5	14	37	150
0:05:23	33	12,5	14	37	150
0:05:24	33	12,5	14	37	150
0:05:25	33	12,5	14	37	150
0:05:26	33	12,5	14	37	150
0:05:27	33	12,5	14	37	150
0:05:28	33	12,5	14	37	150
0:05:29	33	12,5	14	37	150
0:05:30	33	12,5	14	37	150
0:05:31	33	12,8	14	37	150
0:05:32	33	13,0	14	37	150
0:05:33	33	13,0	14	37	150
0:05:34	33	13,0	14	37	150
0:05:35	33	13,1	14	37	150
0:05:36	33	13,1	14	37	150
0:05:37	33	13,1	14	37	150
0:05:38	33	13,1	14	37	150
0:05:39	33	13,1	14	37	150
0:05:40	33	13,1	14	37	150
0:05:41	33	13,1	14	37	150
0:05:42	33	13,1	14	37	150
0:05:43	33	13,1	14	37	150
0:05:44	33	13,1	14	37	150
0:05:45	33	13,1	14	37	150
0:05:46	33	13,1	14	37	150
0:05:47	33	13,1	14	37	150
0:05:48	33	13,1	14	37	150
0:05:49	33	13,1	14	37	150
0:05:50	33	13,1	14	37	150
0:05:51	33	13,1	14	37	150
0:05:52	33	13,1	14	37	150
0:05:53	33	13,1	14	37	150
0:05:54	33	13,1	14	37	150
0:05:55	33	13,1	14	37	150
0:05:56	33	13,1	14	37	150
0:05:57	33	13,2	14	37	150
0:05:58	33	13,2	14	37	150
0:05:59	33	13,2	14	37	150
0:06:00	33	13,2	14	37	150
0:06:01	34	13,2	14	37	150
0:06:02	34	13,2	14	37	150
0:06:03	34	13,2	14	37	150
0:06:04	34	13,2	14	37	150
0:06:05	34	13,2	14	37	150
0:06:06	34	13,2	14	37	150
0:06:07	34	13,2	14	37	150
0:06:08	34	13,2	14	37	150
0:06:09	34	13,2	14	37	150
0:06:10	34	13,5	14	37	150
0:06:11	34	13,6	14	37	150
0:06:12	34	13,7	14	37	150
0:06:13	34	13,7	14	37	150
0:06:14	34	13,7	14	37	150
0:06:15	34	13,7	14	37	150
0:06:16	34	13,7	14	37	150
0:06:17	34	13,7	14	38	150
0:06:18	34	13,7	14	38	150
0:06:19	34	13,7	14	38	150
