--Test Summary--
Full Path and File Name	
Instrument Name	7322
Instrument Type	Model 7322 Consistometer - Variable Speed
Instrument Serial Number	
Test Start Date	11.01.2022
Test Start Time	15:31:23
Test Stop Date	11.01.2022
Test Stop Time	17:32:45
Test Length	2:01:22
Final Sample Time Offset	2:01:21
Controller Schedule Name	
Sampling Period	1 second
Comments	
Information	WellID	
Information	Customer	
Information	EngName	
Information	CementClass	G
Information	CementMfr	Ñóõîé Ëîã
Information	Additives	100%G+4%ÐÄ-ÖÒ
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	Time_30Bc	1:28:23
Calculated Value	Time_70Bc	1:46:50
Calculated Value	Time_100Bc	2:01:21
Initial Temperature (°C)	23 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	36,2 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	100 Bc
Initial Wall Temperature (°C)	34 °C
Final Wall Temperature (°C)	50 °C
Initial Motor Speed (RPM)	150 RPM
Final Motor Speed (RPM)	150 RPM
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)	Wall Temperature (°C)	Motor Speed (RPM)
0:00:00	23	0,6	12	34	150
0:00:01	23	0,9	12	34	150
0:00:02	23	1,6	12	34	150
0:00:03	24	2,9	12	34	150
0:00:04	24	4,4	12	34	150
0:00:05	24	6,0	12	34	150
0:00:06	24	7,0	12	35	150
0:00:07	24	7,5	12	35	150
0:00:08	24	7,7	12	35	150
0:00:09	24	7,8	12	35	150
0:00:10	24	7,8	12	35	150
0:00:11	24	7,8	12	35	150
0:00:12	24	7,8	12	35	150
0:00:13	24	7,9	12	35	150
0:00:14	24	7,9	12	35	150
0:00:15	24	7,9	12	35	150
0:00:16	24	7,9	12	35	150
0:00:17	24	7,9	12	35	150
0:00:18	24	7,9	12	35	150
0:00:19	24	8,0	12	35	150
0:00:20	24	8,0	12	35	150
0:00:21	25	8,0	11	35	150
0:00:22	25	8,0	11	35	150
0:00:23	25	8,0	11	35	150
0:00:24	25	8,0	11	35	150
0:00:25	25	8,1	11	35	150
0:00:26	25	8,1	11	35	150
0:00:27	25	8,1	11	35	150
0:00:28	25	8,1	11	35	150
0:00:29	25	8,1	11	35	150
0:00:30	25	8,2	11	35	150
0:00:31	25	8,2	11	35	150
0:00:32	25	8,2	11	35	150
0:00:33	25	8,2	11	35	150
0:00:34	25	8,2	11	35	150
0:00:35	25	8,2	11	35	150
0:00:36	25	8,3	11	35	150
0:00:37	25	8,3	11	35	150
0:00:38	25	8,3	11	35	150
0:00:39	26	8,3	11	35	150
0:00:40	26	8,3	11	35	150
0:00:41	26	8,4	11	35	150
0:00:42	26	8,4	11	35	150
0:00:43	26	8,4	11	35	150
0:00:44	26	8,4	11	35	150
0:00:45	26	8,4	11	35	150
0:00:46	26	8,4	11	35	150
0:00:47	26	8,5	11	35	150
0:00:48	26	8,5	11	36	150
0:00:49	26	8,5	11	35	150
0:00:50	26	8,5	11	35	150
0:00:51	26	8,5	11	36	150
0:00:52	26	8,6	11	36	150
0:00:53	27	8,6	11	36	150
0:00:54	27	8,6	11	36	150
0:00:55	27	8,6	13	36	150
0:00:56	27	8,6	14	36	150
0:00:57	27	8,6	14	36	150
0:00:58	27	8,6	14	36	150
0:00:59	27	8,7	14	36	150
0:01:00	27	8,7	14	36	150
0:01:01	27	8,7	14	36	150
0:01:02	27	8,7	14	36	150
0:01:03	27	8,7	14	36	150
0:01:04	27	8,7	14	36	150
0:01:05	27	8,8	14	36	150
0:01:06	27	8,8	14	36	150
0:01:07	27	8,8	14	36	150
0:01:08	27	8,8	14	36	150
0:01:09	28	8,8	14	36	150
0:01:10	28	8,8	14	36	150
0:01:11	28	8,9	14	36	150
0:01:12	28	8,9	14	36	150
0:01:13	28	8,9	14	36	150
0:01:14	28	8,9	13	36	150
0:01:15	28	8,9	13	36	150
0:01:16	28	8,9	13	36	150
0:01:17	28	8,9	13	36	150
0:01:18	28	9,0	13	36	150
0:01:19	28	9,0	13	36	150
0:01:20	28	9,0	13	36	150
0:01:21	28	9,0	13	36	150
0:01:22	28	9,0	13	36	150
0:01:23	28	9,0	13	36	150
0:01:24	28	9,0	13	36	150
0:01:25	28	9,1	13	36	150
0:01:26	28	9,1	13	36	150
0:01:27	29	9,1	13	36	150
0:01:28	29	9,1	13	36	150
0:01:29	29	9,1	13	36	150
0:01:30	29	9,1	13	36	150
0:01:31	29	9,1	13	36	150
0:01:32	29	9,2	13	36	150
0:01:33	29	9,2	13	36	150
0:01:34	29	9,2	13	36	150
0:01:35	29	9,2	13	36	150
0:01:36	29	9,2	13	36	150
0:01:37	29	9,2	13	36	150
0:01:38	29	9,2	13	36	150
0:01:39	29	9,2	13	36	150
0:01:40	29	9,3	13	36	150
0:01:41	29	9,3	13	36	150
0:01:42	29	9,3	13	36	150
0:01:43	29	9,3	13	36	150
0:01:44	29	9,3	13	36	150
0:01:45	29	9,3	13	36	150
0:01:46	29	9,3	13	36	150
0:01:47	29	9,3	13	36	150
0:01:48	29	9,4	13	36	150
0:01:49	30	9,4	13	36	150
0:01:50	30	9,4	13	36	150
0:01:51	30	9,4	13	36	150
0:01:52	30	9,4	13	36	150
0:01:53	30	9,4	13	36	150
0:01:54	30	9,4	13	36	150
0:01:55	30	9,4	13	36	150
0:01:56	30	9,5	13	36	150
0:01:57	30	9,5	13	36	150
0:01:58	30	9,5	13	36	150
0:01:59	30	9,5	13	37	150
0:02:00	30	9,5	13	36	150
0:02:01	30	9,5	13	37	150
0:02:02	30	9,5	13	36	150
0:02:03	30	9,5	13	36	150
0:02:04	30	9,5	13	36	150
0:02:05	30	9,6	13	37	150
0:02:06	30	9,6	13	36	150
0:02:07	30	9,6	13	37	150
0:02:08	30	9,6	13	37	150
0:02:09	30	9,6	13	37	150
0:02:10	30	9,6	13	37	150
0:02:11	30	9,6	13	36	150
0:02:12	30	9,6	13	37	150
0:02:13	30	9,6	13	37	150
0:02:14	31	9,7	13	37	150
0:02:15	31	9,7	13	37	150
0:02:16	31	9,7	13	37	150
0:02:17	31	9,7	13	37	150
0:02:18	31	9,7	13	37	150
0:02:19	31	9,7	13	37	150
0:02:20	31	9,7	13	37	150
0:02:21	31	9,7	13	37	150
0:02:22	31	9,7	13	37	150
0:02:23	31	9,8	13	37	150
0:02:24	31	9,8	13	37	150
0:02:25	31	9,8	13	37	150
0:02:26	31	9,8	13	37	150
0:02:27	31	9,8	13	37	150
0:02:28	31	9,8	13	37	150
0:02:29	31	9,8	13	37	150
0:02:30	31	9,8	13	37	150
0:02:31	31	9,8	13	37	150
0:02:32	31	9,8	13	37	150
0:02:33	31	9,9	13	37	150
0:02:34	31	9,9	13	37	150
0:02:35	31	9,9	13	37	150
0:02:36	31	9,9	13	37	150
0:02:37	31	9,9	13	37	150
0:02:38	31	9,9	13	37	150
0:02:39	31	9,9	13	37	150
0:02:40	31	9,9	13	37	150
0:02:41	31	9,9	13	37	150
0:02:42	32	9,9	13	37	150
0:02:43	32	10,0	13	37	150
0:02:44	32	10,0	13	37	150
0:02:45	32	10,0	13	37	150
0:02:46	32	10,0	13	37	150
0:02:47	32	10,0	14	37	150
0:02:48	32	10,0	13	37	150
