--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	03.10.2001
Test Start Time	2:28:20
Test Stop Date	03.10.2001
Test Stop Time	9:26:20
Test Length	6:58:00
Final Sample Time Offset	6:58:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35(60min), T: 50C(60min), tap water, premixing
Information	WellID	
Information	Customer	Kogalym
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.2%Sulfacel-2+0.2%C-3P+0.04%TBF
Information	Density	1900
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	
Information	JobType	146 mm CSG tail slurry
Calculated Value	Thickening_Time	6:52:00
Calculated Value	Setting Time	6:58:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	35 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	100 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2	6
0:01:00	25	3	6
0:02:00	26	3	6
0:03:00	27	4	7
0:04:00	28	5	7
0:05:00	29	5	8
0:06:00	30	6	9
0:07:00	31	6	9
0:08:00	31	7	12
0:09:00	32	7	9
0:10:00	32	8	10
0:11:00	33	8	11
0:12:00	33	9	8
0:13:00	34	10	14
0:14:00	34	10	9
0:15:00	34	11	10
0:16:00	35	11	9
0:17:00	35	12	9
0:18:00	35	12	9
0:19:00	35	12	10
0:20:00	35	14	9
0:21:00	35	14	6
0:22:00	36	14	7
0:23:00	36	15	9
0:24:00	36	16	7
0:25:00	36	16	6
0:26:00	36	16	6
0:27:00	36	17	6
0:28:00	36	18	7
0:29:00	36	18	8
0:30:00	36	19	8
0:31:00	36	19	11
0:32:00	36	20	11
0:33:00	36	20	12
0:34:00	37	21	13
0:35:00	37	22	12
0:36:00	38	22	11
0:37:00	38	23	11
0:38:00	39	23	11
0:39:00	39	24	11
0:40:00	40	24	11
0:41:00	40	25	11
0:42:00	41	25	10
0:43:00	41	26	11
0:44:00	42	27	10
0:45:00	43	27	10
0:46:00	43	27	10
0:47:00	44	28	10
0:48:00	44	29	11
0:49:00	45	29	11
0:50:00	45	30	10
0:51:00	45	30	10
0:52:00	46	31	11
0:53:00	46	31	11
0:54:00	47	32	10
0:55:00	47	32	10
0:56:00	48	33	10
0:57:00	48	33	10
0:58:00	48	34	10
0:59:00	49	35	10
1:00:00	49	35	10
1:01:00	49	35	10
1:02:00	50	35	10
1:03:00	50	35	10
1:04:00	50	35	10
1:05:00	50	35	10
1:06:00	51	35	10
1:07:00	51	35	10
1:08:00	50	35	10
1:09:00	50	35	10
1:10:00	50	35	10
1:11:00	50	35	10
1:12:00	50	35	10
1:13:00	50	35	10
1:14:00	50	35	10
1:15:00	49	35	10
1:16:00	49	35	10
1:17:00	49	35	10
1:18:00	49	35	10
1:19:00	49	35	10
1:20:00	49	35	10
1:21:00	49	35	10
1:22:00	49	35	10
1:23:00	49	35	10
1:24:00	49	36	10
1:25:00	49	36	10
1:26:00	49	36	10
1:27:00	49	36	10
1:28:00	49	36	10
1:29:00	49	36	10
1:30:00	49	36	10
1:31:00	49	36	10
1:32:00	49	36	10
1:33:00	49	36	10
1:34:00	49	36	10
1:35:00	49	36	10
1:36:00	49	36	10
1:37:00	49	36	10
1:38:00	49	36	10
1:39:00	49	36	10
1:40:00	49	36	10
1:41:00	49	36	10
1:42:00	49	36	10
1:43:00	49	36	10
1:44:00	49	36	10
1:45:00	49	36	10
1:46:00	49	36	9
1:47:00	49	36	9
1:48:00	49	36	9
1:49:00	49	36	9
1:50:00	49	36	9
1:51:00	49	36	9
1:52:00	49	36	9
1:53:00	49	36	9
1:54:00	49	36	9
1:55:00	49	36	9
1:56:00	49	36	9
1:57:00	49	36	9
1:58:00	49	36	9
1:59:00	49	36	9
2:00:00	49	36	9
2:01:00	49	36	9
2:02:00	49	36	9
2:03:00	49	36	9
2:04:00	49	36	9
2:05:00	49	36	9
2:06:00	49	36	9
2:07:00	49	36	9
2:08:00	49	36	9
2:09:00	49	36	9
2:10:00	49	36	9
2:11:00	49	36	9
2:12:00	49	36	9
2:13:00	49	36	9
2:14:00	49	36	9
2:15:00	49	36	9
2:16:00	49	36	9
2:17:00	49	36	9
2:18:00	49	36	9
2:19:00	49	36	9
2:20:00	49	36	9
2:21:00	49	36	9
2:22:00	49	36	9
2:23:00	49	36	9
2:24:00	49	36	9
2:25:00	49	36	9
2:26:00	49	36	9
2:27:00	49	36	9
2:28:00	49	36	9
2:29:00	49	36	9
2:30:00	49	36	9
2:31:00	49	36	9
2:32:00	49	36	9
2:33:00	49	36	9
2:34:00	49	36	9
2:35:00	49	36	9
2:36:00	49	36	9
2:37:00	49	36	9
2:38:00	49	36	9
2:39:00	49	36	9
2:40:00	49	36	9
2:41:00	49	36	9
2:42:00	49	36	9
2:43:00	49	36	9
2:44:00	49	36	9
2:45:00	49	36	9
2:46:00	49	36	9
2:47:00	49	36	9
2:48:00	49	36	9
2:49:00	49	36	9
2:50:00	49	36	9
2:51:00	49	36	9
2:52:00	49	36	9
2:53:00	49	36	9
2:54:00	49	36	9
2:55:00	49	36	9
2:56:00	49	36	9
2:57:00	49	36	9
2:58:00	49	36	9
2:59:00	49	36	9
3:00:00	49	36	9
3:01:00	49	36	9
3:02:00	49	36	9
3:03:00	49	36	9
3:04:00	49	36	9
3:05:00	49	36	10
3:06:00	49	36	10
3:07:00	49	36	10
3:08:00	49	36	10
3:09:00	49	36	10
3:10:00	49	36	10
3:11:00	49	36	10
3:12:00	49	36	10
3:13:00	49	36	9
3:14:00	49	36	9
3:15:00	49	36	9
3:16:00	49	36	9
3:17:00	49	36	9
3:18:00	49	36	9
3:19:00	49	36	9
3:20:00	49	36	9
3:21:00	49	36	9
3:22:00	49	36	9
3:23:00	49	36	9
3:24:00	49	36	9
3:25:00	49	36	9
3:26:00	49	36	9
3:27:00	49	36	9
3:28:00	49	36	9
3:29:00	49	36	9
3:30:00	49	36	9
3:31:00	49	36	9
3:32:00	49	36	9
