--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	14.12.2001
Test Start Time	3:28:13
Test Stop Date	14.12.2001
Test Stop Time	6:22:54
Test Length	2:54:41
Final Sample Time Offset	2:54:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 45(44min); T: 70C(34min), 82C(12min); tap water, dry blending.
Information	WellID	
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%TDF-1+0.05%TR-1
Information	Density	1900
Information	BHCT	82
Information	BHST	100
Information	FluidLoss	
Information	JobType	146 mm csg tail slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	18 °C
Final Temperature (°C)	81 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	46 MPa
Initial Consistency (Bc)	31 Bc
Final Consistency (Bc)	8 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	18	1	31
0:01:00	18	3	46
0:02:00	18	4	61
0:03:00	18	6	54
0:04:00	18	7	26
0:05:00	19	8	37
0:06:00	20	9	32
0:07:00	22	10	35
0:08:00	24	11	27
0:09:00	26	12	23
0:10:00	28	13	22
0:11:00	31	14	12
0:12:00	33	14	9
0:13:00	35	15	6
0:14:00	37	17	6
0:15:00	40	17	17
0:16:00	42	18	11
0:17:00	44	19	12
0:18:00	45	20	11
0:19:00	47	21	11
0:20:00	48	22	11
0:21:00	50	23	10
0:22:00	51	24	8
0:23:00	52	25	12
0:24:00	54	26	12
0:25:00	55	27	12
0:26:00	56	28	15
0:27:00	57	29	13
0:28:00	59	30	12
0:29:00	60	31	11
0:30:00	62	32	10
0:31:00	64	33	11
0:32:00	65	34	12
0:33:00	67	35	11
0:34:00	68	36	13
0:35:00	70	37	13
0:36:00	71	38	11
0:37:00	72	39	11
0:38:00	74	40	11
0:39:00	75	41	11
0:40:00	77	42	10
0:41:00	78	43	10
0:42:00	79	44	10
0:43:00	80	45	11
0:44:00	81	46	9
0:45:00	82	46	9
0:46:00	83	46	9
0:47:00	84	45	9
0:48:00	85	45	7
0:49:00	85	45	7
0:50:00	85	45	7
0:51:00	85	45	6
0:52:00	85	45	6
0:53:00	85	45	6
0:54:00	84	45	6
0:55:00	84	45	5
0:56:00	83	45	7
0:57:00	83	45	9
0:58:00	83	45	10
0:59:00	82	45	9
1:00:00	82	45	13
1:01:00	82	45	11
1:02:00	82	45	10
1:03:00	82	45	12
1:04:00	81	45	8
1:05:00	81	45	9
1:06:00	81	45	9
1:07:00	81	46	9
1:08:00	81	46	9
1:09:00	81	46	9
1:10:00	81	46	8
1:11:00	81	46	8
1:12:00	81	46	8
1:13:00	81	46	8
1:14:00	82	46	9
1:15:00	81	46	9
1:16:00	81	46	7
1:17:00	81	46	9
1:18:00	81	46	8
1:19:00	81	46	8
1:20:00	81	46	8
1:21:00	81	46	7
1:22:00	81	46	8
1:23:00	81	46	7
1:24:00	81	46	7
1:25:00	81	46	8
1:26:00	81	46	8
1:27:00	81	46	9
1:28:00	81	46	14
1:29:00	81	46	9
1:30:00	81	46	8
1:31:00	81	46	9
1:32:00	81	46	9
1:33:00	81	46	8
1:34:00	81	46	8
1:35:00	81	46	8
1:36:00	81	46	8
1:37:00	81	46	10
1:38:00	81	46	9
1:39:00	81	46	9
1:40:00	81	46	8
1:41:00	81	46	8
1:42:00	81	46	8
1:43:00	81	46	8
1:44:00	81	46	8
1:45:00	81	46	8
1:46:00	81	46	8
1:47:00	81	46	8
1:48:00	81	46	8
1:49:00	81	46	8
1:50:00	81	46	8
1:51:00	81	46	8
1:52:00	81	46	8
1:53:00	81	46	8
1:54:00	81	46	13
1:55:00	81	46	9
1:56:00	81	46	21
1:57:00	81	46	9
1:58:00	81	46	9
1:59:00	81	46	9
2:00:00	81	46	9
2:01:00	81	46	9
2:02:00	81	46	9
2:03:00	81	46	9
2:04:00	81	46	9
2:05:00	81	46	9
2:06:00	81	46	9
2:07:00	81	46	9
2:08:00	81	46	9
2:09:00	81	46	9
2:10:00	81	46	9
2:11:00	81	46	8
2:12:00	81	46	9
2:13:00	81	46	9
2:14:00	81	46	9
2:15:00	81	46	9
2:16:00	81	46	9
2:17:00	81	46	9
2:18:00	81	46	9
2:19:00	81	46	8
2:20:00	81	46	8
2:21:00	81	46	8
2:22:00	81	46	8
2:23:00	81	46	8
2:24:00	81	46	8
2:25:00	81	46	8
2:26:00	81	46	8
2:27:00	81	46	8
2:28:00	81	46	8
2:29:00	81	46	8
2:30:00	81	46	8
2:31:00	81	46	8
2:32:00	81	46	8
2:33:00	81	46	8
2:34:00	81	46	8
2:35:00	81	46	8
2:36:00	81	46	8
2:37:00	81	46	8
2:38:00	81	46	8
2:39:00	81	46	8
2:40:00	81	46	8
2:41:00	81	46	8
2:42:00	81	46	8
2:43:00	81	46	8
2:44:00	81	46	8
2:45:00	81	46	8
2:46:00	81	46	8
2:47:00	81	46	8
2:48:00	81	46	8
2:49:00	81	46	8
2:50:00	81	46	8
2:51:00	81	46	8
2:52:00	81	46	8
2:53:00	81	46	8
2:54:00	81	46	8
