--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	27.11.2001
Test Start Time	3:05:40
Test Stop Date	27.11.2001
Test Stop Time	6:44:32
Test Length	3:38:52
Final Sample Time Offset	3:38:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min); T: 60C(20min), 71C(10min); field water, premix.
Information	WellID	Rakushechnaya
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.11%THR-100
Information	Density	1940
Information	BHCT	71
Information	BHST	71
Information	FluidLoss	
Information	JobType	plug
Calculated Value	Thickening_Time	3:37:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	70 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	90 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2	12
0:01:00	26	3	12
0:02:00	26	4	13
0:03:00	26	5	13
0:04:00	27	6	13
0:05:00	27	7	13
0:06:00	28	8	13
0:07:00	30	8	13
0:08:00	32	9	13
0:09:00	34	10	13
0:10:00	37	11	13
0:11:00	40	11	13
0:12:00	42	12	13
0:13:00	45	13	13
0:14:00	47	14	13
0:15:00	49	15	14
0:16:00	52	15	14
0:17:00	54	16	14
0:18:00	56	17	14
0:19:00	57	18	14
0:20:00	59	18	14
0:21:00	61	19	14
0:22:00	62	20	15
0:23:00	64	20	15
0:24:00	65	21	15
0:25:00	66	21	15
0:26:00	67	22	15
0:27:00	68	23	15
0:28:00	69	24	16
0:29:00	70	24	17
0:30:00	71	25	16
0:31:00	72	26	16
0:32:00	72	26	17
0:33:00	73	25	17
0:34:00	73	25	17
0:35:00	73	25	17
0:36:00	73	25	17
0:37:00	73	25	17
0:38:00	73	25	17
0:39:00	72	25	17
0:40:00	72	25	17
0:41:00	72	25	18
0:42:00	72	25	18
0:43:00	71	25	18
0:44:00	71	25	18
0:45:00	71	25	18
0:46:00	71	25	18
0:47:00	71	25	19
0:48:00	71	25	19
0:49:00	71	25	20
0:50:00	71	25	19
0:51:00	71	25	20
0:52:00	71	25	20
0:53:00	71	25	20
0:54:00	71	25	20
0:55:00	71	25	21
0:56:00	71	25	20
0:57:00	70	25	20
0:58:00	70	25	20
0:59:00	70	25	20
1:00:00	70	26	20
1:01:00	70	25	21
1:02:00	70	25	21
1:03:00	70	26	21
1:04:00	70	25	21
1:05:00	70	26	21
1:06:00	70	26	21
1:07:00	70	26	21
1:08:00	70	26	22
1:09:00	70	26	22
1:10:00	70	26	22
1:11:00	70	26	22
1:12:00	70	26	22
1:13:00	70	26	22
1:14:00	70	26	22
1:15:00	70	26	22
1:16:00	70	26	22
1:17:00	70	26	22
1:18:00	70	26	23
1:19:00	70	26	23
1:20:00	70	26	23
1:21:00	70	26	22
1:22:00	70	26	23
1:23:00	70	26	23
1:24:00	70	26	22
1:25:00	70	26	23
1:26:00	70	26	23
1:27:00	70	26	23
1:28:00	70	26	23
1:29:00	70	26	23
1:30:00	70	26	23
1:31:00	70	26	23
1:32:00	70	26	23
1:33:00	70	26	23
1:34:00	70	26	23
1:35:00	70	26	23
1:36:00	70	26	22
1:37:00	70	26	23
1:38:00	70	26	22
1:39:00	70	26	22
1:40:00	70	26	23
1:41:00	70	26	22
1:42:00	70	26	22
1:43:00	70	26	22
1:44:00	70	26	22
1:45:00	70	26	22
1:46:00	70	26	23
1:47:00	70	26	22
1:48:00	70	26	22
1:49:00	70	26	23
1:50:00	70	26	23
1:51:00	70	26	23
1:52:00	70	26	23
1:53:00	70	26	23
1:54:00	70	26	23
1:55:00	70	26	23
1:56:00	70	26	23
1:57:00	70	26	23
1:58:00	70	26	23
1:59:00	70	26	23
2:00:00	70	26	23
2:01:00	70	26	23
2:02:00	70	26	23
2:03:00	70	26	23
2:04:00	70	26	23
2:05:00	70	26	23
2:06:00	70	26	23
2:07:00	70	26	23
2:08:00	70	26	23
2:09:00	70	26	23
2:10:00	70	26	23
2:11:00	70	26	23
2:12:00	70	26	23
2:13:00	70	26	23
2:14:00	70	26	23
2:15:00	70	26	23
2:16:00	70	26	23
2:17:00	70	26	23
2:18:00	70	26	23
2:19:00	70	26	23
2:20:00	70	26	23
2:21:00	70	26	23
2:22:00	70	26	23
2:23:00	70	26	23
2:24:00	70	26	23
2:25:00	70	26	23
2:26:00	70	26	23
2:27:00	70	26	23
2:28:00	70	26	23
2:29:00	70	26	23
2:30:00	70	26	23
2:31:00	70	26	23
2:32:00	70	26	23
2:33:00	70	26	23
2:34:00	70	26	23
2:35:00	70	26	23
2:36:00	70	26	24
2:37:00	70	26	24
2:38:00	70	26	24
2:39:00	70	26	24
2:40:00	70	26	24
2:41:00	70	26	24
2:42:00	70	26	24
2:43:00	70	26	24
2:44:00	70	26	24
2:45:00	70	26	24
2:46:00	70	26	24
2:47:00	70	26	24
2:48:00	70	26	24
2:49:00	70	26	24
2:50:00	70	26	24
2:51:00	70	26	24
2:52:00	70	26	24
2:53:00	70	26	24
2:54:00	70	26	24
2:55:00	70	26	24
2:56:00	70	26	24
2:57:00	70	26	24
2:58:00	70	26	24
2:59:00	70	26	24
3:00:00	70	25	24
3:01:00	70	26	24
3:02:00	70	26	25
3:03:00	70	26	25
3:04:00	70	26	25
3:05:00	70	25	25
3:06:00	70	25	23
3:07:00	70	26	23
3:08:00	70	25	24
3:09:00	70	25	24
3:10:00	70	25	24
3:11:00	70	25	25
3:12:00	70	25	25
3:13:00	70	25	25
3:14:00	70	25	25
3:15:00	70	25	26
3:16:00	70	25	26
