--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	10.10.2001
Test Start Time	20:12:10
Test Stop Date	10.10.2001
Test Stop Time	22:12:44
Test Length	2:00:34
Final Sample Time Offset	2:00:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 13(30min); T: 50C(30min), field water, premix
Information	WellID	Rakushechnaya
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	No
Information	Density	1960
Information	BHCT	50
Information	BHST	63
Information	FluidLoss	
Information	JobType	244.5 mm csg tail slurry
Calculated Value	Thickening_Time	1:59:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	21 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	13 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	21	2	16
0:01:00	21	2	16
0:02:00	21	3	16
0:03:00	21	4	16
0:04:00	22	4	17
0:05:00	22	5	18
0:06:00	23	5	18
0:07:00	24	6	17
0:08:00	26	6	17
0:09:00	27	6	17
0:10:00	29	7	17
0:11:00	30	7	17
0:12:00	31	7	18
0:13:00	32	8	19
0:14:00	34	8	18
0:15:00	35	9	18
0:16:00	36	9	18
0:17:00	37	9	19
0:18:00	38	10	19
0:19:00	39	10	19
0:20:00	40	10	19
0:21:00	41	11	19
0:22:00	42	11	19
0:23:00	43	11	19
0:24:00	43	12	19
0:25:00	44	12	19
0:26:00	45	13	20
0:27:00	46	13	19
0:28:00	47	13	19
0:29:00	48	14	19
0:30:00	49	14	19
0:31:00	50	14	19
0:32:00	51	14	19
0:33:00	51	14	19
0:34:00	51	13	20
0:35:00	52	13	20
0:36:00	52	13	20
0:37:00	52	13	20
0:38:00	51	13	21
0:39:00	51	13	20
0:40:00	51	14	20
0:41:00	51	13	20
0:42:00	50	13	20
0:43:00	50	13	21
0:44:00	50	13	20
0:45:00	50	13	21
0:46:00	50	13	21
0:47:00	49	13	21
0:48:00	49	13	21
0:49:00	49	13	21
0:50:00	49	13	21
0:51:00	49	13	21
0:52:00	49	14	21
0:53:00	49	14	21
0:54:00	49	14	21
0:55:00	49	14	21
0:56:00	49	14	21
0:57:00	49	14	21
0:58:00	49	14	21
0:59:00	49	14	21
1:00:00	49	14	21
1:01:00	49	14	21
1:02:00	49	14	21
1:03:00	49	14	21
1:04:00	49	14	21
1:05:00	49	14	21
1:06:00	49	14	21
1:07:00	49	14	21
1:08:00	49	14	21
1:09:00	49	14	21
1:10:00	49	14	21
1:11:00	49	14	21
1:12:00	49	14	21
1:13:00	49	14	21
1:14:00	49	14	21
1:15:00	49	14	21
1:16:00	49	14	21
1:17:00	49	14	21
1:18:00	49	14	21
1:19:00	49	14	23
1:20:00	49	14	24
1:21:00	49	14	24
1:22:00	49	14	24
1:23:00	49	14	24
1:24:00	49	14	24
1:25:00	49	14	24
1:26:00	49	14	28
1:27:00	49	14	28
1:28:00	49	14	28
1:29:00	49	14	28
1:30:00	49	14	32
1:31:00	49	14	33
1:32:00	49	13	33
1:33:00	49	13	35
1:34:00	49	13	36
1:35:00	49	13	36
1:36:00	49	13	37
1:37:00	49	13	39
1:38:00	49	13	39
1:39:00	49	13	40
1:40:00	49	13	40
1:41:00	49	13	42
1:42:00	49	13	43
1:43:00	49	13	44
1:44:00	49	13	49
1:45:00	49	13	48
1:46:00	49	13	51
1:47:00	49	13	51
1:48:00	49	13	52
1:49:00	49	13	53
1:50:00	49	13	54
1:51:00	49	13	57
1:52:00	49	13	59
1:53:00	49	13	59
1:54:00	49	13	63
1:55:00	49	13	64
1:56:00	49	13	68
1:57:00	49	13	70
1:58:00	49	13	71
1:59:00	49	13	73
2:00:00	49	13	73
