--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	28.11.2001
Test Start Time	21:49:17
Test Stop Date	29.11.2001
Test Stop Time	0:55:34
Test Length	3:06:17
Final Sample Time Offset	3:06:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:30(30min) T:57(30min); tap water, dry blending.
Information	WellID	762/5217
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.1%TDF-1
Information	Density	1900
Information	BHCT	57
Information	BHST	71
Information	FluidLoss	15cc/30min
Information	JobType	146 mm csg tail slurry
Calculated Value	Thickening_Time	3:06:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	57 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	30 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	95 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2	13
0:01:00	24	3	16
0:02:00	24	4	15
0:03:00	24	5	18
0:04:00	24	6	14
0:05:00	24	7	15
0:06:00	25	8	21
0:07:00	26	9	19
0:08:00	26	10	22
0:09:00	27	11	18
0:10:00	28	12	14
0:11:00	30	13	17
0:12:00	31	14	22
0:13:00	33	15	31
0:14:00	34	16	15
0:15:00	36	17	18
0:16:00	38	18	23
0:17:00	39	19	17
0:18:00	41	20	18
0:19:00	43	21	28
0:20:00	44	22	27
0:21:00	46	22	20
0:22:00	47	23	22
0:23:00	48	24	23
0:24:00	49	25	32
0:25:00	51	26	24
0:26:00	52	27	19
0:27:00	53	27	27
0:28:00	54	28	18
0:29:00	55	29	16
0:30:00	56	30	16
0:31:00	57	31	14
0:32:00	58	31	17
0:33:00	59	31	18
0:34:00	60	31	15
0:35:00	60	31	12
0:36:00	60	31	12
0:37:00	60	30	12
0:38:00	60	30	62
0:39:00	60	30	14
0:40:00	60	30	10
0:41:00	60	30	21
0:42:00	60	30	13
0:43:00	60	30	16
0:44:00	59	30	17
0:45:00	59	30	15
0:46:00	59	30	19
0:47:00	58	30	17
0:48:00	58	30	18
0:49:00	58	30	12
0:50:00	58	30	15
0:51:00	57	30	18
0:52:00	57	30	13
0:53:00	57	30	15
0:54:00	57	30	18
0:55:00	57	30	14
0:56:00	57	30	14
0:57:00	56	30	12
0:58:00	56	30	12
0:59:00	56	31	14
1:00:00	56	30	15
1:01:00	56	30	17
1:02:00	56	30	14
1:03:00	56	31	14
1:04:00	56	31	13
1:05:00	56	31	14
1:06:00	56	31	13
1:07:00	56	31	17
1:08:00	56	31	16
1:09:00	56	31	17
1:10:00	56	31	19
1:11:00	56	31	16
1:12:00	56	31	13
1:13:00	56	31	14
1:14:00	56	31	12
1:15:00	56	31	12
1:16:00	56	31	14
1:17:00	56	31	14
1:18:00	56	31	17
1:19:00	57	31	15
1:20:00	56	31	15
1:21:00	56	31	13
1:22:00	56	31	15
1:23:00	56	31	15
1:24:00	56	31	14
1:25:00	56	31	12
1:26:00	56	31	13
1:27:00	56	31	13
1:28:00	56	31	12
1:29:00	56	31	14
1:30:00	56	31	15
1:31:00	56	31	16
1:32:00	56	31	12
1:33:00	56	31	11
1:34:00	56	31	12
1:35:00	56	31	11
1:36:00	56	31	12
1:37:00	56	31	12
1:38:00	56	31	12
1:39:00	56	31	12
1:40:00	56	31	12
1:41:00	56	31	11
1:42:00	56	31	11
1:43:00	56	31	11
1:44:00	56	31	11
1:45:00	56	31	11
1:46:00	56	31	12
1:47:00	56	31	11
1:48:00	56	31	11
1:49:00	56	31	12
1:50:00	56	31	11
1:51:00	56	31	11
1:52:00	56	31	11
1:53:00	56	31	11
1:54:00	56	31	11
1:55:00	56	31	11
1:56:00	56	31	11
1:57:00	56	31	11
1:58:00	56	31	11
1:59:00	56	31	11
2:00:00	56	31	11
2:01:00	56	31	11
2:02:00	56	31	11
2:03:00	56	31	12
2:04:00	56	31	12
2:05:00	56	31	13
2:06:00	56	31	12
2:07:00	56	31	13
2:08:00	56	31	12
2:09:00	56	31	12
2:10:00	56	31	11
2:11:00	56	31	11
2:12:00	56	31	12
2:13:00	56	31	12
2:14:00	56	31	12
2:15:00	56	31	12
2:16:00	56	31	13
2:17:00	56	31	14
2:18:00	56	31	14
2:19:00	56	31	13
2:20:00	56	31	13
2:21:00	56	31	12
2:22:00	56	31	13
2:23:00	56	31	12
2:24:00	56	31	12
2:25:00	56	30	14
2:26:00	56	30	21
2:27:00	56	31	16
2:28:00	56	31	23
2:29:00	56	31	12
2:30:00	56	30	12
2:31:00	56	31	12
2:32:00	56	30	12
2:33:00	56	30	12
2:34:00	56	30	13
2:35:00	56	30	10
2:36:00	56	30	11
2:37:00	56	30	10
2:38:00	56	30	11
2:39:00	56	30	11
2:40:00	56	30	40
2:41:00	56	30	21
2:42:00	56	30	21
2:43:00	56	30	21
2:44:00	56	30	21
2:45:00	56	30	21
2:46:00	56	30	21
2:47:00	57	30	21
2:48:00	56	30	21
2:49:00	57	30	33
2:50:00	57	30	34
2:51:00	57	30	45
2:52:00	57	30	43
2:53:00	57	30	56
2:54:00	57	30	38
2:55:00	57	30	38
2:56:00	57	30	38
2:57:00	57	30	44
2:58:00	57	30	46
2:59:00	57	30	46
3:00:00	57	30	53
3:01:00	57	30	58
3:02:00	57	30	58
3:03:00	57	30	67
3:04:00	57	30	69
3:05:00	57	30	89
3:06:00	57	30	95
