--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	16.11.2001
Test Start Time	0:18:18
Test Stop Date	16.11.2001
Test Stop Time	6:15:18
Test Length	5:57:00
Final Sample Time Offset	5:57:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min);  T: 40C(30min), tap water, dry blending

Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.3%TDF-1
Information	Density	1900
Information	BHCT	40
Information	BHST	40
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	5:42:00
Calculated Value	Setting Time	5:57:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	39 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	28 Bc
Final Consistency (Bc)	111 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2	28
0:01:00	24	3	24
0:02:00	24	4	30
0:03:00	24	4	23
0:04:00	24	5	25
0:05:00	24	6	23
0:06:00	24	6	25
0:07:00	25	8	17
0:08:00	25	8	17
0:09:00	25	9	15
0:10:00	26	10	15
0:11:00	27	11	15
0:12:00	27	11	15
0:13:00	28	12	15
0:14:00	29	13	14
0:15:00	29	14	14
0:16:00	30	14	15
0:17:00	31	15	16
0:18:00	32	16	17
0:19:00	32	17	16
0:20:00	33	18	18
0:21:00	34	18	17
0:22:00	34	19	18
0:23:00	35	20	20
0:24:00	36	21	17
0:25:00	36	21	21
0:26:00	37	22	20
0:27:00	37	23	26
0:28:00	38	24	24
0:29:00	38	24	21
0:30:00	39	25	22
0:31:00	40	25	21
0:32:00	40	26	22
0:33:00	40	26	20
0:34:00	41	26	21
0:35:00	41	26	22
0:36:00	41	25	23
0:37:00	41	25	21
0:38:00	42	25	22
0:39:00	41	25	21
0:40:00	41	25	22
0:41:00	41	25	24
0:42:00	41	25	21
0:43:00	41	25	23
0:44:00	41	25	25
0:45:00	41	25	21
0:46:00	41	25	26
0:47:00	40	25	23
0:48:00	40	25	22
0:49:00	40	25	21
0:50:00	40	25	20
0:51:00	40	25	20
0:52:00	40	25	19
0:53:00	39	25	19
0:54:00	39	25	19
0:55:00	39	25	18
0:56:00	39	25	19
0:57:00	39	25	19
0:58:00	39	25	19
0:59:00	39	25	19
1:00:00	39	25	19
1:01:00	39	26	19
1:02:00	39	25	19
1:03:00	39	25	19
1:04:00	39	26	19
1:05:00	39	26	19
1:06:00	39	26	18
1:07:00	39	26	18
1:08:00	39	26	19
1:09:00	39	26	19
1:10:00	39	26	18
1:11:00	39	26	18
1:12:00	39	26	18
1:13:00	39	26	18
1:14:00	39	26	18
1:15:00	39	26	18
1:16:00	39	26	19
1:17:00	39	26	19
1:18:00	39	26	18
1:19:00	39	26	19
1:20:00	39	26	18
1:21:00	39	26	19
1:22:00	39	26	18
1:23:00	39	26	18
1:24:00	39	26	19
1:25:00	39	26	19
1:26:00	39	26	19
1:27:00	39	26	19
1:28:00	39	26	18
1:29:00	39	26	19
1:30:00	39	26	18
1:31:00	39	26	19
1:32:00	39	26	19
1:33:00	39	26	19
1:34:00	39	26	20
1:35:00	39	26	19
1:36:00	39	26	19
1:37:00	39	26	19
1:38:00	39	26	19
1:39:00	39	26	19
1:40:00	39	26	19
1:41:00	39	26	19
1:42:00	39	26	19
1:43:00	39	26	19
1:44:00	39	26	19
1:45:00	39	26	18
1:46:00	39	26	19
1:47:00	39	26	19
1:48:00	39	26	19
1:49:00	39	26	19
1:50:00	39	26	19
1:51:00	39	26	19
1:52:00	39	26	18
1:53:00	39	26	19
1:54:00	39	26	19
1:55:00	39	26	19
1:56:00	39	26	18
1:57:00	39	26	19
1:58:00	39	26	19
1:59:00	39	26	19
2:00:00	39	26	19
2:01:00	39	26	20
2:02:00	39	26	19
2:03:00	39	26	19
2:04:00	39	26	19
2:05:00	39	26	20
2:06:00	39	26	19
2:07:00	39	26	19
2:08:00	39	26	19
2:09:00	39	26	19
2:10:00	39	26	19
2:11:00	39	26	19
2:12:00	39	26	20
2:13:00	39	26	20
2:14:00	39	26	19
2:15:00	39	26	19
2:16:00	39	26	19
2:17:00	39	26	19
2:18:00	39	26	19
2:19:00	39	26	19
2:20:00	39	26	19
2:21:00	39	26	19
2:22:00	39	26	19
2:23:00	39	26	19
2:24:00	39	26	19
2:25:00	39	26	19
2:26:00	39	26	19
2:27:00	39	26	19
2:28:00	39	26	19
2:29:00	39	26	19
2:30:00	39	26	19
2:31:00	39	26	19
2:32:00	39	26	19
2:33:00	39	26	19
2:34:00	39	26	19
2:35:00	39	26	19
2:36:00	39	26	19
2:37:00	39	26	19
2:38:00	39	26	19
2:39:00	39	26	19
2:40:00	39	26	19
2:41:00	39	26	19
2:42:00	39	26	19
2:43:00	39	26	19
2:44:00	39	26	19
2:45:00	39	26	19
2:46:00	39	26	21
2:47:00	39	26	23
2:48:00	39	26	22
2:49:00	39	26	20
2:50:00	39	26	21
2:51:00	39	26	22
2:52:00	39	26	22
2:53:00	39	26	22
2:54:00	39	26	22
2:55:00	39	26	21
2:56:00	39	26	23
2:57:00	39	26	24
2:58:00	39	26	21
2:59:00	39	26	22
3:00:00	39	26	24
3:01:00	39	26	23
3:02:00	39	26	24
3:03:00	39	26	22
3:04:00	39	26	22
3:05:00	39	26	21
3:06:00	39	26	21
3:07:00	39	26	21
3:08:00	39	26	24
3:09:00	39	26	22
3:10:00	39	26	24
3:11:00	39	26	24
3:12:00	39	26	25
3:13:00	39	26	23
3:14:00	39	26	22
3:15:00	39	26	23
3:16:00	39	26	22
3:17:00	39	26	24
3:18:00	39	26	23
3:19:00	39	26	23
3:20:00	39	26	26
3:21:00	39	26	22
3:22:00	39	26	24
3:23:00	39	26	23
3:24:00	39	26	24
3:25:00	39	26	24
3:26:00	39	26	21
3:27:00	39	26	22
3:28:00	39	26	23
3:29:00	39	26	23
3:30:00	39	26	23
3:31:00	39	26	23
3:32:00	39	26	22
3:33:00	39	26	22
3:34:00	39	26	25
3:35:00	39	26	23
3:36:00	39	26	23
3:37:00	39	26	24
3:38:00	39	26	24
3:39:00	39	26	24
3:40:00	39	26	25
3:41:00	39	26	26
3:42:00	39	26	24
3:43:00	39	26	26
3:44:00	39	26	29
3:45:00	39	26	27
3:46:00	39	26	27
3:47:00	39	26	27
3:48:00	39	26	27
3:49:00	39	26	28
3:50:00	39	26	28
3:51:00	39	26	25
3:52:00	39	26	28
3:53:00	39	26	29
3:54:00	39	26	30
3:55:00	39	26	30
3:56:00	39	26	30
3:57:00	39	26	31
3:58:00	39	26	37
3:59:00	39	26	33
4:00:00	39	25	32
4:01:00	39	26	35
4:02:00	39	26	32
4:03:00	39	26	32
4:04:00	39	26	32
4:05:00	39	26	31
4:06:00	39	25	30
4:07:00	39	26	31
4:08:00	39	25	32
4:09:00	39	26	32
4:10:00	39	25	32
4:11:00	39	25	34
4:12:00	39	26	31
4:13:00	39	25	33
4:14:00	39	26	42
4:15:00	39	26	44
4:16:00	39	25	36
4:17:00	39	26	45
4:18:00	39	25	40
4:19:00	39	26	35
4:20:00	39	25	33
4:21:00	39	25	34
4:22:00	39	25	34
4:23:00	39	25	33
4:24:00	39	26	39
4:25:00	39	26	32
4:26:00	39	25	34
4:27:00	39	25	31
4:28:00	39	25	35
4:29:00	39	25	33
4:30:00	39	26	48
4:31:00	39	25	33
4:32:00	39	25	36
4:33:00	39	25	35
4:34:00	39	25	32
4:35:00	39	25	36
4:36:00	39	25	32
4:37:00	39	25	34
4:38:00	39	25	32
4:39:00	39	25	31
4:40:00	39	25	30
4:41:00	39	25	29
4:42:00	39	25	29
4:43:00	39	25	28
4:44:00	39	25	27
4:45:00	39	25	26
4:46:00	39	25	26
4:47:00	39	25	27
4:48:00	39	25	27
4:49:00	39	25	27
4:50:00	39	25	27
4:51:00	39	25	27
4:52:00	39	25	27
4:53:00	39	25	31
4:54:00	39	25	33
4:55:00	39	25	33
4:56:00	39	25	31
4:57:00	39	25	30
4:58:00	39	25	30
4:59:00	39	25	30
5:00:00	39	25	35
5:01:00	39	25	34
5:02:00	39	25	34
5:03:00	39	25	36
5:04:00	39	25	36
5:05:00	39	25	35
5:06:00	39	25	35
5:07:00	39	25	35
5:08:00	39	25	35
5:09:00	39	25	35
5:10:00	39	25	32
5:11:00	39	25	31
5:12:00	39	25	30
5:13:00	39	25	30
5:14:00	39	25	30
5:15:00	39	25	30
5:16:00	39	25	30
5:17:00	39	25	43
5:18:00	39	25	42
5:19:00	39	25	42
5:20:00	39	25	42
5:21:00	39	25	46
5:22:00	39	25	46
5:23:00	39	25	46
5:24:00	39	25	48
5:25:00	39	25	48
5:26:00	39	25	49
5:27:00	39	25	50
5:28:00	39	25	49
5:29:00	39	25	49
5:30:00	39	26	49
5:31:00	39	25	49
5:32:00	39	25	54
5:33:00	39	25	54
5:34:00	39	25	54
5:35:00	39	25	59
5:36:00	39	25	59
5:37:00	39	25	62
5:38:00	39	25	62
5:39:00	39	25	62
5:40:00	39	25	62
5:41:00	39	26	70
5:42:00	39	25	71
5:43:00	39	25	71
5:44:00	39	25	76
5:45:00	39	25	77
5:46:00	39	25	77
5:47:00	39	25	80
5:48:00	39	25	82
5:49:00	39	25	86
5:50:00	39	25	93
5:51:00	39	25	93
5:52:00	39	25	94
5:53:00	39	25	94
5:54:00	39	25	94
5:55:00	39	25	94
5:56:00	39	25	111
5:57:00	39	25	111
