--Test Summary--
Full Path and File Name	
Instrument Name	4262 L
Instrument Type	UCA
Instrument Serial Number	111
Test Start Date	07.11.2001
Test Start Time	1:12:55
Test Stop Date	08.11.2001
Test Stop Time	20:46:22
Test Length	43:33:27
Final Sample Time Offset	43:33:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 63C(35min), 75C(240min), tap water, dry-blending
Information	WellID	2606 / 25
Information	Customer	Kogalym
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%TDF-1
Information	Density	1900
Information	BHCT	63
Information	BHST	75
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	Finish Set	3:48:00
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	40 °C
Initial Transit Time (microsec/in)	16,94 microsec/in
Final Transit Time (microsec/in)	ERROR
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	N/A
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	16,94	0,00
0:01:00	24	16,90	0,01
0:02:00	24	16,90	0,01
0:03:00	24	16,88	0,02
0:04:00	24	16,91	0,01
0:05:00	24	16,92	0,01
0:06:00	25	16,92	0,01
0:07:00	25	16,93	0,00
0:08:00	26	16,92	0,00
0:09:00	26	16,92	0,00
0:10:00	27	16,92	0,01
0:11:00	28	16,92	0,01
0:12:00	29	16,90	0,01
0:13:00	30	16,89	0,02
0:14:00	31	16,87	0,02
0:15:00	32	16,84	0,03
0:16:00	33	16,81	0,04
0:17:00	34	16,78	0,05
0:18:00	36	16,75	0,06
0:19:00	37	16,72	0,07
0:20:00	38	16,68	0,08
0:21:00	40	16,65	0,09
0:22:00	40	16,74	0,06
0:23:00	42	16,70	0,08
0:24:00	43	16,68	0,08
0:25:00	44	16,65	0,09
0:26:00	46	16,60	0,11
0:27:00	47	16,56	0,12
0:28:00	48	16,53	0,13
0:29:00	49	16,71	0,07
0:30:00	51	16,68	0,08
0:31:00	52	16,65	0,09
0:32:00	53	16,85	0,03
0:33:00	54	16,55	0,13
0:34:00	56	16,54	0,13
0:35:00	57	16,50	0,14
0:36:00	58	16,47	0,15
0:37:00	59	16,44	0,17
0:38:00	60	16,41	0,18
0:39:00	62	16,38	0,18
0:40:00	63	16,35	0,20
0:41:00	64	16,32	0,21
0:42:00	64	16,77	0,05
0:43:00	66	16,50	0,14
0:44:00	66	16,56	0,12
0:45:00	66	16,61	0,11
0:46:00	67	16,50	0,14
0:47:00	67	16,48	0,15
0:48:00	67	16,49	0,15
0:49:00	67	16,47	0,15
0:50:00	67	16,47	0,15
0:51:00	67	16,50	0,14
0:52:00	67	16,50	0,14
0:53:00	67	16,48	0,15
0:54:00	67	16,50	0,14
